texte,domaine,prediction_nexus,resultat
Ticket urgent : le routeur affiche erreur 5050,INFRA,ACCÈS,False
"SVP aidez-moi, le accès VPN ne s'envoie pas",ACCÈS,INFRA,False
Ticket urgent : erreur sur ma congés,RH,ACCÈS,False
Problème : le tablette surchauffe,MATÉRIEL,INFRA,False
Ticket urgent : erreur sur ma prime,RH,ACCÈS,False
Problème : erreur sur ma fiche de paie,RH,ACCÈS,False
"Bonjour, le accès VPN ne s'envoie pas",ACCÈS,INFRA,False
Problème : mon accès VPN a expiré ce matin,ACCÈS,INFRA,False
"Bonjour, erreur sur ma arrêt maladie",RH,MÉDICAL,False
Ticket urgent : le datacenter affiche erreur 5012,INFRA,ACCÈS,False
Ticket urgent : erreur sur ma arrêt maladie,RH,ACCÈS,False
accès refusé sur accès VPN,ACCÈS,INFRA,False
URGENT : accès refusé sur accès VPN,ACCÈS,INFRA,False
Ticket urgent : le ordinateur surchauffe,MATÉRIEL,INFRA,False
Ticket urgent : le proxy affiche erreur 5060,INFRA,ACCÈS,False
Ticket urgent : demande de congés refusée,RH,ACCÈS,False
Ticket urgent : demande de prime refusée,RH,ACCÈS,False
Ticket urgent : demande de fiche de paie refusée,RH,ACCÈS,False
Ticket urgent : erreur sur ma fiche de paie,RH,ACCÈS,False
"SVP aidez-moi, accès refusé sur accès VPN",ACCÈS,INFRA,False
URGENT : mon accès VPN a expiré ce matin,ACCÈS,INFRA,False
Ticket urgent : mon fiche de paie n'est toujours pas versé,RH,ACCÈS,False
Ticket urgent : demande de arrêt maladie refusée,RH,ACCÈS,False
Ticket urgent : le écran surchauffe,MATÉRIEL,INFRA,False
Problème : mon fiche de paie n'est toujours pas versé,RH,ACCÈS,False
Ticket urgent : le datacenter affiche erreur 5084,INFRA,ACCÈS,False
Ticket urgent : mon tablette ne s'allume plus,MATÉRIEL,ACCÈS,False
"Bonjour, mon arrêt maladie n'est toujours pas versé",RH,MÉDICAL,False
Ticket urgent : le serveur est tombé depuis 36 min,INFRA,ACCÈS,False
Ticket urgent : le proxy est tombé depuis 23 min,INFRA,ACCÈS,False
Ticket urgent : le routeur affiche erreur 5023,INFRA,ACCÈS,False
"Bonjour, oublié mon accès VPN",ACCÈS,INFRA,False
"Bonjour, erreur sur ma prime",RH,ACCÈS,False
Ticket urgent : accès refusé sur accès VPN,ACCÈS,INFRA,False
"Bonjour, accès refusé sur accès VPN",ACCÈS,INFRA,False
Ticket urgent : contrat arrêt maladie non reçu,RH,ACCÈS,False
Ticket urgent : contrat prime non reçu,RH,ACCÈS,False
oublié mon accès VPN,ACCÈS,INFRA,False
"SVP aidez-moi, mon accès VPN a expiré ce matin",ACCÈS,INFRA,False
"Bonjour, le accès VPN affiche compte verrouillé",ACCÈS,INFRA,False
le accès VPN ne s'envoie pas,ACCÈS,INFRA,False
Ticket urgent : mon écran ne s'allume plus,MATÉRIEL,ACCÈS,False
Problème : le accès VPN affiche compte verrouillé,ACCÈS,INFRA,False
Problème : demande de prime refusée,RH,ACCÈS,False
"SVP aidez-moi, le session SSO ne s'envoie pas",ACCÈS,INFRA,False
URGENT : le accès VPN ne s'envoie pas,ACCÈS,INFRA,False
"Bonjour, demande de prime refusée",RH,ACCÈS,False
Problème : oublié mon accès VPN,ACCÈS,INFRA,False
Problème : le accès VPN ne s'envoie pas,ACCÈS,INFRA,False
mon accès VPN a expiré ce matin,ACCÈS,INFRA,False
URGENT : le accès VPN affiche compte verrouillé,ACCÈS,INFRA,False
URGENT : oublié mon accès VPN,ACCÈS,INFRA,False
Ticket urgent : contrat congés non reçu,RH,ACCÈS,False
Ticket urgent : le routeur affiche erreur 5080,INFRA,ACCÈS,False
Ticket urgent : le proxy affiche erreur 5050,INFRA,ACCÈS,False
Ticket urgent : le accès VPN affiche compte verrouillé,ACCÈS,INFRA,False
Ticket urgent : essoufflement au moindre effort,MÉDICAL,ACCÈS,False
Problème : accès refusé sur accès VPN,ACCÈS,INFRA,False
demande de prime refusée,RH,ACCÈS,False
Ticket urgent : contrat fiche de paie non reçu,RH,ACCÈS,False
Ticket urgent : le routeur affiche erreur 5074,INFRA,ACCÈS,False
le fibre affiche erreur 5098,INFRA,MATÉRIEL,False
Problème : le routeur affiche erreur 5097,INFRA,MATÉRIEL,False
Ticket urgent : le réseau affiche erreur 5017,INFRA,ACCÈS,False
"Bonjour, mon accès VPN a expiré ce matin",ACCÈS,INFRA,False
"SVP aidez-moi, le accès VPN affiche compte verrouillé",ACCÈS,INFRA,False
Ticket urgent : mon accès VPN a expiré ce matin,ACCÈS,INFRA,False
le accès VPN affiche compte verrouillé,ACCÈS,INFRA,False
le tablette surchauffe,MATÉRIEL,MÉDICAL,False
Ticket urgent : batterie du ordinateur tient 5 min,MATÉRIEL,INFRA,False
Ticket urgent : oublié mon accès VPN,ACCÈS,INFRA,False
"Bonjour, serveur redémarre en boucle",INFRA,MÉDICAL,False
Ticket urgent : le routeur affiche erreur 5026,INFRA,ACCÈS,False
"SVP aidez-moi, le tablette surchauffe",MATÉRIEL,INFRA,False
Ticket urgent : le serveur affiche erreur 5031,INFRA,ACCÈS,False
Ticket urgent : proxy redémarre en boucle,INFRA,ACCÈS,False
Ticket urgent : le datacenter affiche erreur 5097,INFRA,ACCÈS,False
Ticket urgent : le accès VPN ne s'envoie pas,ACCÈS,INFRA,False
Problème : le routeur affiche erreur 5030,INFRA,MATÉRIEL,False
Ticket urgent : le réseau affiche erreur 5044,INFRA,ACCÈS,False
Ticket urgent : le proxy est tombé depuis 54 min,INFRA,ACCÈS,False
Ticket urgent : le datacenter affiche erreur 502,INFRA,ACCÈS,False
"Bonjour, le tablette surchauffe",MATÉRIEL,MÉDICAL,False
Ticket urgent : le proxy affiche erreur 5031,INFRA,ACCÈS,False
Problème : le routeur affiche erreur 5063,INFRA,MATÉRIEL,False
Ticket urgent : batterie du écran tient 56 min,MATÉRIEL,INFRA,False
"SVP aidez-moi, oublié mon accès VPN",ACCÈS,INFRA,False
Ticket urgent : le proxy affiche erreur 5018,INFRA,ACCÈS,False
Ticket urgent : mon ordinateur ne s'allume plus,MATÉRIEL,INFRA,False
Ticket urgent : batterie du tablette tient 26 min,MATÉRIEL,INFRA,False
Ticket urgent : le serveur affiche erreur 5010,INFRA,ACCÈS,False
Ticket urgent : le routeur affiche erreur 5017,INFRA,ACCÈS,False
Ticket urgent : le proxy affiche erreur 5077,INFRA,ACCÈS,False
Ticket urgent : le proxy affiche erreur 5064,INFRA,ACCÈS,False
Ticket urgent : le serveur affiche erreur 5094,INFRA,ACCÈS,False
Ticket urgent : le proxy est tombé depuis 84 min,INFRA,ACCÈS,False
Ticket urgent : le proxy est tombé depuis 88 min,INFRA,ACCÈS,False
Ticket urgent : le proxy affiche erreur 5078,INFRA,ACCÈS,False
Problème : le routeur affiche erreur 5089,INFRA,MATÉRIEL,False
URGENT : le tablette surchauffe,MATÉRIEL,INFRA,False
Ticket urgent : le proxy est tombé depuis 75 min,INFRA,ACCÈS,False
Ticket urgent : le serveur affiche erreur 5080,INFRA,ACCÈS,False
Problème : le routeur affiche erreur 5069,INFRA,MATÉRIEL,False
Ticket urgent : le serveur affiche erreur 5025,INFRA,ACCÈS,False
Ticket urgent : le proxy affiche erreur 5092,INFRA,ACCÈS,False
Problème : le routeur affiche erreur 5061,INFRA,MATÉRIEL,False
Ticket urgent : le proxy affiche erreur 5036,INFRA,ACCÈS,False
Ticket urgent : le serveur affiche erreur 5020,INFRA,ACCÈS,False
Ticket urgent : le proxy affiche erreur 5010,INFRA,ACCÈS,False
Ticket urgent : batterie du ordinateur tient 86 min,MATÉRIEL,INFRA,False
Ticket urgent : le datacenter affiche erreur 5011,INFRA,ACCÈS,False
Ticket urgent : le routeur est tombé depuis 10 min,INFRA,ACCÈS,False
Ticket urgent : le datacenter affiche erreur 505,INFRA,ACCÈS,False
Ticket urgent : le routeur affiche erreur 5085,INFRA,ACCÈS,False
Problème : le routeur affiche erreur 5018,INFRA,MATÉRIEL,False
Ticket urgent : le routeur affiche erreur 5028,INFRA,ACCÈS,False
Ticket urgent : le datacenter affiche erreur 507,INFRA,ACCÈS,False
Ticket urgent : batterie du écran tient 85 min,MATÉRIEL,INFRA,False
Ticket urgent : le routeur affiche erreur 5065,INFRA,ACCÈS,False
Ticket urgent : le routeur affiche erreur 5014,INFRA,ACCÈS,False
Problème : le routeur affiche erreur 5083,INFRA,MATÉRIEL,False
Ticket urgent : batterie du tablette tient 5 min,MATÉRIEL,INFRA,False
Ticket urgent : batterie du ordinateur tient 29 min,MATÉRIEL,INFRA,False
Ticket urgent : le proxy affiche erreur 509,INFRA,ACCÈS,False
Ticket urgent : le réseau affiche erreur 5049,INFRA,ACCÈS,False
Ticket urgent : le serveur est tombé depuis 52 min,INFRA,ACCÈS,False
Ticket urgent : le routeur affiche erreur 5090,INFRA,ACCÈS,False
Ticket urgent : le datacenter affiche erreur 5090,INFRA,ACCÈS,False
Ticket urgent : le routeur affiche erreur 5019,INFRA,ACCÈS,False
Ticket urgent : le routeur affiche erreur 5024,INFRA,ACCÈS,False
Ticket urgent : batterie du ordinateur tient 65 min,MATÉRIEL,INFRA,False
Ticket urgent : le datacenter affiche erreur 5065,INFRA,ACCÈS,False
Ticket urgent : le proxy est tombé depuis 7 min,INFRA,ACCÈS,False
Ticket urgent : le proxy affiche erreur 5038,INFRA,ACCÈS,False
Ticket urgent : le proxy est tombé depuis 70 min,INFRA,ACCÈS,False
Ticket urgent : le proxy affiche erreur 5085,INFRA,ACCÈS,False
Ticket urgent : le serveur affiche erreur 5092,INFRA,ACCÈS,False
Ticket urgent : le proxy affiche erreur 5054,INFRA,ACCÈS,False
Ticket urgent : le serveur affiche erreur 5048,INFRA,ACCÈS,False
Problème : le routeur affiche erreur 5064,INFRA,MATÉRIEL,False
Ticket urgent : le routeur est tombé depuis 23 min,INFRA,ACCÈS,False
Ticket urgent : le réseau affiche erreur 5029,INFRA,ACCÈS,False
Ticket urgent : le serveur affiche erreur 5090,INFRA,ACCÈS,False
Ticket urgent : le routeur affiche erreur 5081,INFRA,ACCÈS,False
Ticket urgent : le datacenter affiche erreur 5054,INFRA,ACCÈS,False
Ticket urgent : le proxy affiche erreur 5042,INFRA,ACCÈS,False
Ticket urgent : le proxy est tombé depuis 85 min,INFRA,ACCÈS,False
Ticket urgent : le proxy est tombé depuis 60 min,INFRA,ACCÈS,False
Ticket urgent : le routeur est tombé depuis 36 min,INFRA,ACCÈS,False
Ticket urgent : le serveur affiche erreur 5024,INFRA,ACCÈS,False
Ticket urgent : le routeur affiche erreur 5063,INFRA,ACCÈS,False
Ticket urgent : batterie du écran tient 18 min,MATÉRIEL,INFRA,False
Ticket urgent : le proxy affiche erreur 5053,INFRA,ACCÈS,False
Ticket urgent : le routeur est tombé depuis 48 min,INFRA,ACCÈS,False
Ticket urgent : le routeur est tombé depuis 75 min,INFRA,ACCÈS,False
Ticket urgent : le serveur affiche erreur 5075,INFRA,ACCÈS,False
Ticket urgent : le routeur affiche erreur 5079,INFRA,ACCÈS,False
Problème : le routeur affiche erreur 5077,INFRA,MATÉRIEL,False
Ticket urgent : le serveur est tombé depuis 19 min,INFRA,ACCÈS,False
Ticket urgent : le datacenter affiche erreur 504,INFRA,ACCÈS,False
Ticket urgent : le datacenter affiche erreur 5016,INFRA,ACCÈS,False
Problème : le routeur affiche erreur 5053,INFRA,MATÉRIEL,False
Ticket urgent : le réseau affiche erreur 5046,INFRA,ACCÈS,False
Ticket urgent : le datacenter affiche erreur 5055,INFRA,ACCÈS,False
Ticket urgent : le serveur affiche erreur 5091,INFRA,ACCÈS,False
Ticket urgent : le serveur affiche erreur 5070,INFRA,ACCÈS,False
Ticket urgent : le datacenter affiche erreur 5058,INFRA,ACCÈS,False
Ticket urgent : le serveur affiche erreur 5084,INFRA,ACCÈS,False
Ticket urgent : batterie du ordinateur tient 96 min,MATÉRIEL,INFRA,False
Ticket urgent : le datacenter affiche erreur 5040,INFRA,ACCÈS,False
Ticket urgent : le serveur affiche erreur 5042,INFRA,ACCÈS,False
Ticket urgent : le serveur affiche erreur 5098,INFRA,ACCÈS,False
Ticket urgent : le routeur est tombé depuis 28 min,INFRA,ACCÈS,False
Ticket urgent : le proxy est tombé depuis 72 min,INFRA,ACCÈS,False
Ticket urgent : le routeur affiche erreur 5056,INFRA,ACCÈS,False
Ticket urgent : le routeur affiche erreur 5092,INFRA,ACCÈS,False
Ticket urgent : le serveur affiche erreur 506,INFRA,ACCÈS,False
Ticket urgent : le proxy est tombé depuis 19 min,INFRA,ACCÈS,False
Ticket urgent : le proxy affiche erreur 506,INFRA,ACCÈS,False
Ticket urgent : le serveur affiche erreur 5087,INFRA,ACCÈS,False
Ticket urgent : le proxy affiche erreur 5044,INFRA,ACCÈS,False
Ticket urgent : le réseau affiche erreur 5019,INFRA,ACCÈS,False
Ticket urgent : le routeur affiche erreur 5051,INFRA,ACCÈS,False
Ticket urgent : le serveur affiche erreur 5078,INFRA,ACCÈS,False
Ticket urgent : le routeur affiche erreur 5030,INFRA,ACCÈS,False
Ticket urgent : le proxy est tombé depuis 91 min,INFRA,ACCÈS,False
Ticket urgent : le serveur est tombé depuis 18 min,INFRA,ACCÈS,False
Ticket urgent : le serveur affiche erreur 502,INFRA,ACCÈS,False
Ticket urgent : le serveur affiche erreur 5076,INFRA,ACCÈS,False
le fibre affiche erreur 5097,INFRA,MATÉRIEL,False
Ticket urgent : le routeur affiche erreur 5049,INFRA,ACCÈS,False
Ticket urgent : le proxy affiche erreur 5084,INFRA,ACCÈS,False
Ticket urgent : batterie du écran tient 86 min,MATÉRIEL,INFRA,False
Problème : le routeur affiche erreur 5078,INFRA,MATÉRIEL,False
"Bonjour, le fibre affiche erreur 5098",INFRA,MATÉRIEL,False
Ticket urgent : le datacenter affiche erreur 5089,INFRA,ACCÈS,False
Ticket urgent : le proxy affiche erreur 5057,INFRA,ACCÈS,False
Ticket urgent : le serveur affiche erreur 5062,INFRA,ACCÈS,False
