Texte,Categorie,Gravite_Technique_Reelle
Impossible d'accéder au lecteur réseau partagé,Réseau,6
Le VPN déconnecte toutes les 10 minutes,Réseau,6
Le serveur de fichiers est éteint,Infra,9
Panne totale de la base de données patients,Infra,10
Odeur de brûlé dans la salle serveur,Sécurité,10
Attaque ransomware en cours,Sécurité,10
Besoin d'une nouvelle souris sans fil,Matériel,1
Mon clavier ne marche plus,Matériel,2
Demande d'un écran supplémentaire,Matériel,1
Mise à jour d'Adobe Reader demandée,Logiciel,2
Bug d'affichage sur l'intranet (couleur),Logiciel,3
Lenteur au démarrage de Windows,Logiciel,4
Coupure internet intermittente,Réseau,5
Impossible d'accéder au lecteur réseau partagé,Réseau,6
Le VPN déconnecte toutes les 10 minutes,Réseau,6
Le serveur de fichiers est éteint,Infra,9
Panne totale de la base de données patients,Infra,10
Odeur de brûlé dans la salle serveur,Sécurité,10
Attaque ransomware en cours,Sécurité,10
Besoin d'une nouvelle souris sans fil,Matériel,1
Mon clavier ne marche plus,Matériel,2
Demande d'un écran supplémentaire,Matériel,1
Mise à jour d'Adobe Reader demandée,Logiciel,2
Bug d'affichage sur l'intranet (couleur),Logiciel,3
Lenteur au démarrage de Windows,Logiciel,4
Coupure internet intermittente,Réseau,5
Impossible d'accéder au lecteur réseau partagé,Réseau,6
Le VPN déconnecte toutes les 10 minutes,Réseau,6
Le serveur de fichiers est éteint,Infra,9
Panne totale de la base de données patients,Infra,10
Odeur de brûlé dans la salle serveur,Sécurité,10
Attaque ransomware en cours,Sécurité,10
Besoin d'une nouvelle souris sans fil,Matériel,1
Mon clavier ne marche plus,Matériel,2
Demande d'un écran supplémentaire,Matériel,1
Mise à jour d'Adobe Reader demandée,Logiciel,2
Bug d'affichage sur l'intranet (couleur),Logiciel,3
Lenteur au démarrage de Windows,Logiciel,4
Coupure internet intermittente,Réseau,5
Impossible d'accéder au lecteur réseau partagé,Réseau,6
Le VPN déconnecte toutes les 10 minutes,Réseau,6
Le serveur de fichiers est éteint,Infra,9
Panne totale de la base de données patients,Infra,10
Odeur de brûlé dans la salle serveur,Sécurité,10
Attaque ransomware en cours,Sécurité,10
Besoin d'une nouvelle souris sans fil,Matériel,1
Mon clavier ne marche plus,Matériel,2
Demande d'un écran supplémentaire,Matériel,1
Mise à jour d'Adobe Reader demandée,Logiciel,2
Bug d'affichage sur l'intranet (couleur),Logiciel,3
Lenteur au démarrage de Windows,Logiciel,4
Coupure internet intermittente,Réseau,5
Impossible d'accéder au lecteur réseau partagé,Réseau,6
Le VPN déconnecte toutes les 10 minutes,Réseau,6
Le serveur de fichiers est éteint,Infra,9
Panne totale de la base de données patients,Infra,10
Odeur de brûlé dans la salle serveur,Sécurité,10
Attaque ransomware en cours,Sécurité,10
Besoin d'une nouvelle souris sans fil,Matériel,1
Mon clavier ne marche plus,Matériel,2
Demande d'un écran supplémentaire,Matériel,1
Mise à jour d'Adobe Reader demandée,Logiciel,2
Bug d'affichage sur l'intranet (couleur),Logiciel,3
Lenteur au démarrage de Windows,Logiciel,4
Coupure internet intermittente,Réseau,5
Impossible d'accéder au lecteur réseau partagé,Réseau,6
Le VPN déconnecte toutes les 10 minutes,Réseau,6
Le serveur de fichiers est éteint,Infra,9
Panne totale de la base de données patients,Infra,10
Odeur de brûlé dans la salle serveur,Sécurité,10
Attaque ransomware en cours,Sécurité,10
Besoin d'une nouvelle souris sans fil,Matériel,1
Mon clavier ne marche plus,Matériel,2
Demande d'un écran supplémentaire,Matériel,1
Mise à jour d'Adobe Reader demandée,Logiciel,2
Bug d'affichage sur l'intranet (couleur),Logiciel,3
Lenteur au démarrage de Windows,Logiciel,4
Coupure internet intermittente,Réseau,5
Impossible d'accéder au lecteur réseau partagé,Réseau,6
Le VPN déconnecte toutes les 10 minutes,Réseau,6
Le serveur de fichiers est éteint,Infra,9
Panne totale de la base de données patients,Infra,10
Odeur de brûlé dans la salle serveur,Sécurité,10
Attaque ransomware en cours,Sécurité,10
Besoin d'une nouvelle souris sans fil,Matériel,1
Mon clavier ne marche plus,Matériel,2
Demande d'un écran supplémentaire,Matériel,1
Mise à jour d'Adobe Reader demandée,Logiciel,2
Bug d'affichage sur l'intranet (couleur),Logiciel,3
Lenteur au démarrage de Windows,Logiciel,4
Coupure internet intermittente,Réseau,5
Impossible d'accéder au lecteur réseau partagé,Réseau,6
Le VPN déconnecte toutes les 10 minutes,Réseau,6
Le serveur de fichiers est éteint,Infra,9
Panne totale de la base de données patients,Infra,10
Odeur de brûlé dans la salle serveur,Sécurité,10
Attaque ransomware en cours,Sécurité,10
Besoin d'une nouvelle souris sans fil,Matériel,1
Mon clavier ne marche plus,Matériel,2
Demande d'un écran supplémentaire,Matériel,1
Mise à jour d'Adobe Reader demandée,Logiciel,2
Bug d'affichage sur l'intranet (couleur),Logiciel,3
Lenteur au démarrage de Windows,Logiciel,4
Coupure internet intermittente,Réseau,5
Impossible d'accéder au lecteur réseau partagé,Réseau,6
Le VPN déconnecte toutes les 10 minutes,Réseau,6
Le serveur de fichiers est éteint,Infra,9
Panne totale de la base de données patients,Infra,10
Odeur de brûlé dans la salle serveur,Sécurité,10
Attaque ransomware en cours,Sécurité,10
Besoin d'une nouvelle souris sans fil,Matériel,1
Mon clavier ne marche plus,Matériel,2
Demande d'un écran supplémentaire,Matériel,1
Mise à jour d'Adobe Reader demandée,Logiciel,2
Bug d'affichage sur l'intranet (couleur),Logiciel,3
Lenteur au démarrage de Windows,Logiciel,4
Coupure internet intermittente,Réseau,5
Impossible d'accéder au lecteur réseau partagé,Réseau,6
Le VPN déconnecte toutes les 10 minutes,Réseau,6
Le serveur de fichiers est éteint,Infra,9
Panne totale de la base de données patients,Infra,10
Odeur de brûlé dans la salle serveur,Sécurité,10
Attaque ransomware en cours,Sécurité,10
Besoin d'une nouvelle souris sans fil,Matériel,1
Mon clavier ne marche plus,Matériel,2
Demande d'un écran supplémentaire,Matériel,1
Mise à jour d'Adobe Reader demandée,Logiciel,2
Bug d'affichage sur l'intranet (couleur),Logiciel,3
Lenteur au démarrage de Windows,Logiciel,4
Coupure internet intermittente,Réseau,5
Impossible d'accéder au lecteur réseau partagé,Réseau,6
Le VPN déconnecte toutes les 10 minutes,Réseau,6
Le serveur de fichiers est éteint,Infra,9
Panne totale de la base de données patients,Infra,10
Odeur de brûlé dans la salle serveur,Sécurité,10
Attaque ransomware en cours,Sécurité,10
Besoin d'une nouvelle souris sans fil,Matériel,1
Mon clavier ne marche plus,Matériel,2
Demande d'un écran supplémentaire,Matériel,1
Mise à jour d'Adobe Reader demandée,Logiciel,2
Bug d'affichage sur l'intranet (couleur),Logiciel,3
Lenteur au démarrage de Windows,Logiciel,4
Coupure internet intermittente,Réseau,5
Impossible d'accéder au lecteur réseau partagé,Réseau,6
Le VPN déconnecte toutes les 10 minutes,Réseau,6
Le serveur de fichiers est éteint,Infra,9
Panne totale de la base de données patients,Infra,10
Odeur de brûlé dans la salle serveur,Sécurité,10
Attaque ransomware en cours,Sécurité,10
Besoin d'une nouvelle souris sans fil,Matériel,1
Mon clavier ne marche plus,Matériel,2
Demande d'un écran supplémentaire,Matériel,1
Mise à jour d'Adobe Reader demandée,Logiciel,2
Bug d'affichage sur l'intranet (couleur),Logiciel,3
Lenteur au démarrage de Windows,Logiciel,4
Coupure internet intermittente,Réseau,5
Impossible d'accéder au lecteur réseau partagé,Réseau,6
Le VPN déconnecte toutes les 10 minutes,Réseau,6
Le serveur de fichiers est éteint,Infra,9
Panne totale de la base de données patients,Infra,10
Odeur de brûlé dans la salle serveur,Sécurité,10
Attaque ransomware en cours,Sécurité,10
Besoin d'une nouvelle souris sans fil,Matériel,1
Mon clavier ne marche plus,Matériel,2
Demande d'un écran supplémentaire,Matériel,1
Mise à jour d'Adobe Reader demandée,Logiciel,2
Bug d'affichage sur l'intranet (couleur),Logiciel,3
Lenteur au démarrage de Windows,Logiciel,4
Coupure internet intermittente,Réseau,5
Impossible d'accéder au lecteur réseau partagé,Réseau,6
Le VPN déconnecte toutes les 10 minutes,Réseau,6
Le serveur de fichiers est éteint,Infra,9
Panne totale de la base de données patients,Infra,10
Odeur de brûlé dans la salle serveur,Sécurité,10
Attaque ransomware en cours,Sécurité,10
Besoin d'une nouvelle souris sans fil,Matériel,1
Mon clavier ne marche plus,Matériel,2
Demande d'un écran supplémentaire,Matériel,1
Mise à jour d'Adobe Reader demandée,Logiciel,2
Bug d'affichage sur l'intranet (couleur),Logiciel,3
Lenteur au démarrage de Windows,Logiciel,4
Coupure internet intermittente,Réseau,5
Impossible d'accéder au lecteur réseau partagé,Réseau,6
Le VPN déconnecte toutes les 10 minutes,Réseau,6
Le serveur de fichiers est éteint,Infra,9
Panne totale de la base de données patients,Infra,10
Odeur de brûlé dans la salle serveur,Sécurité,10
Attaque ransomware en cours,Sécurité,10
Besoin d'une nouvelle souris sans fil,Matériel,1
Mon clavier ne marche plus,Matériel,2
Demande d'un écran supplémentaire,Matériel,1
Mise à jour d'Adobe Reader demandée,Logiciel,2
Bug d'affichage sur l'intranet (couleur),Logiciel,3
Lenteur au démarrage de Windows,Logiciel,4
Coupure internet intermittente,Réseau,5
Impossible d'accéder au lecteur réseau partagé,Réseau,6
Le VPN déconnecte toutes les 10 minutes,Réseau,6
Le serveur de fichiers est éteint,Infra,9
Panne totale de la base de données patients,Infra,10
Odeur de brûlé dans la salle serveur,Sécurité,10
Attaque ransomware en cours,Sécurité,10
Besoin d'une nouvelle souris sans fil,Matériel,1
Mon clavier ne marche plus,Matériel,2
Demande d'un écran supplémentaire,Matériel,1
Mise à jour d'Adobe Reader demandée,Logiciel,2
Bug d'affichage sur l'intranet (couleur),Logiciel,3
Lenteur au démarrage de Windows,Logiciel,4
Coupure internet intermittente,Réseau,5
Impossible d'accéder au lecteur réseau partagé,Réseau,6
Le VPN déconnecte toutes les 10 minutes,Réseau,6
Le serveur de fichiers est éteint,Infra,9
Panne totale de la base de données patients,Infra,10
Odeur de brûlé dans la salle serveur,Sécurité,10
Attaque ransomware en cours,Sécurité,10
Besoin d'une nouvelle souris sans fil,Matériel,1
Mon clavier ne marche plus,Matériel,2
Demande d'un écran supplémentaire,Matériel,1
Mise à jour d'Adobe Reader demandée,Logiciel,2
Bug d'affichage sur l'intranet (couleur),Logiciel,3
Lenteur au démarrage de Windows,Logiciel,4
Coupure internet intermittente,Réseau,5
Impossible d'accéder au lecteur réseau partagé,Réseau,6
Le VPN déconnecte toutes les 10 minutes,Réseau,6
Le serveur de fichiers est éteint,Infra,9
Panne totale de la base de données patients,Infra,10
Odeur de brûlé dans la salle serveur,Sécurité,10
Attaque ransomware en cours,Sécurité,10
Besoin d'une nouvelle souris sans fil,Matériel,1
Mon clavier ne marche plus,Matériel,2
Demande d'un écran supplémentaire,Matériel,1
Mise à jour d'Adobe Reader demandée,Logiciel,2
Bug d'affichage sur l'intranet (couleur),Logiciel,3
Lenteur au démarrage de Windows,Logiciel,4
Coupure internet intermittente,Réseau,5
Impossible d'accéder au lecteur réseau partagé,Réseau,6
Le VPN déconnecte toutes les 10 minutes,Réseau,6
Le serveur de fichiers est éteint,Infra,9
Panne totale de la base de données patients,Infra,10
Odeur de brûlé dans la salle serveur,Sécurité,10
Attaque ransomware en cours,Sécurité,10
Besoin d'une nouvelle souris sans fil,Matériel,1
Mon clavier ne marche plus,Matériel,2
Demande d'un écran supplémentaire,Matériel,1
Mise à jour d'Adobe Reader demandée,Logiciel,2
Bug d'affichage sur l'intranet (couleur),Logiciel,3
Lenteur au démarrage de Windows,Logiciel,4
Coupure internet intermittente,Réseau,5
Impossible d'accéder au lecteur réseau partagé,Réseau,6
Le VPN déconnecte toutes les 10 minutes,Réseau,6
Le serveur de fichiers est éteint,Infra,9
Panne totale de la base de données patients,Infra,10
Odeur de brûlé dans la salle serveur,Sécurité,10
Attaque ransomware en cours,Sécurité,10
Besoin d'une nouvelle souris sans fil,Matériel,1
Mon clavier ne marche plus,Matériel,2
Demande d'un écran supplémentaire,Matériel,1
Mise à jour d'Adobe Reader demandée,Logiciel,2
Bug d'affichage sur l'intranet (couleur),Logiciel,3
Lenteur au démarrage de Windows,Logiciel,4
Coupure internet intermittente,Réseau,5
Impossible d'accéder au lecteur réseau partagé,Réseau,6
Le VPN déconnecte toutes les 10 minutes,Réseau,6
Le serveur de fichiers est éteint,Infra,9
Panne totale de la base de données patients,Infra,10
Odeur de brûlé dans la salle serveur,Sécurité,10
Attaque ransomware en cours,Sécurité,10
Besoin d'une nouvelle souris sans fil,Matériel,1
Mon clavier ne marche plus,Matériel,2
Demande d'un écran supplémentaire,Matériel,1
Mise à jour d'Adobe Reader demandée,Logiciel,2
Bug d'affichage sur l'intranet (couleur),Logiciel,3
Lenteur au démarrage de Windows,Logiciel,4
Coupure internet intermittente,Réseau,5
Impossible d'accéder au lecteur réseau partagé,Réseau,6
Le VPN déconnecte toutes les 10 minutes,Réseau,6
Le serveur de fichiers est éteint,Infra,9
Panne totale de la base de données patients,Infra,10
Odeur de brûlé dans la salle serveur,Sécurité,10
Attaque ransomware en cours,Sécurité,10
Besoin d'une nouvelle souris sans fil,Matériel,1
Mon clavier ne marche plus,Matériel,2
Demande d'un écran supplémentaire,Matériel,1
Mise à jour d'Adobe Reader demandée,Logiciel,2
Bug d'affichage sur l'intranet (couleur),Logiciel,3
Lenteur au démarrage de Windows,Logiciel,4
Coupure internet intermittente,Réseau,5
Impossible d'accéder au lecteur réseau partagé,Réseau,6
Le VPN déconnecte toutes les 10 minutes,Réseau,6
Le serveur de fichiers est éteint,Infra,9
Panne totale de la base de données patients,Infra,10
Odeur de brûlé dans la salle serveur,Sécurité,10
Attaque ransomware en cours,Sécurité,10
Besoin d'une nouvelle souris sans fil,Matériel,1
Mon clavier ne marche plus,Matériel,2
Demande d'un écran supplémentaire,Matériel,1
Mise à jour d'Adobe Reader demandée,Logiciel,2
Bug d'affichage sur l'intranet (couleur),Logiciel,3
Lenteur au démarrage de Windows,Logiciel,4
Coupure internet intermittente,Réseau,5
Impossible d'accéder au lecteur réseau partagé,Réseau,6
Le VPN déconnecte toutes les 10 minutes,Réseau,6
Le serveur de fichiers est éteint,Infra,9
Panne totale de la base de données patients,Infra,10
Odeur de brûlé dans la salle serveur,Sécurité,10
Attaque ransomware en cours,Sécurité,10
Besoin d'une nouvelle souris sans fil,Matériel,1
Mon clavier ne marche plus,Matériel,2
Demande d'un écran supplémentaire,Matériel,1
Mise à jour d'Adobe Reader demandée,Logiciel,2
Bug d'affichage sur l'intranet (couleur),Logiciel,3
Lenteur au démarrage de Windows,Logiciel,4
Coupure internet intermittente,Réseau,5
Impossible d'accéder au lecteur réseau partagé,Réseau,6
Le VPN déconnecte toutes les 10 minutes,Réseau,6
Le serveur de fichiers est éteint,Infra,9
Panne totale de la base de données patients,Infra,10
Odeur de brûlé dans la salle serveur,Sécurité,10
Attaque ransomware en cours,Sécurité,10
Besoin d'une nouvelle souris sans fil,Matériel,1
Mon clavier ne marche plus,Matériel,2
Demande d'un écran supplémentaire,Matériel,1
Mise à jour d'Adobe Reader demandée,Logiciel,2
Bug d'affichage sur l'intranet (couleur),Logiciel,3
Lenteur au démarrage de Windows,Logiciel,4
Coupure internet intermittente,Réseau,5
Impossible d'accéder au lecteur réseau partagé,Réseau,6
Le VPN déconnecte toutes les 10 minutes,Réseau,6
Le serveur de fichiers est éteint,Infra,9
Panne totale de la base de données patients,Infra,10
Odeur de brûlé dans la salle serveur,Sécurité,10
Attaque ransomware en cours,Sécurité,10
Besoin d'une nouvelle souris sans fil,Matériel,1
Mon clavier ne marche plus,Matériel,2
Demande d'un écran supplémentaire,Matériel,1
Mise à jour d'Adobe Reader demandée,Logiciel,2
Bug d'affichage sur l'intranet (couleur),Logiciel,3
Lenteur au démarrage de Windows,Logiciel,4
Coupure internet intermittente,Réseau,5
Impossible d'accéder au lecteur réseau partagé,Réseau,6
Le VPN déconnecte toutes les 10 minutes,Réseau,6
Le serveur de fichiers est éteint,Infra,9
Panne totale de la base de données patients,Infra,10
Odeur de brûlé dans la salle serveur,Sécurité,10
Attaque ransomware en cours,Sécurité,10
Besoin d'une nouvelle souris sans fil,Matériel,1
Mon clavier ne marche plus,Matériel,2
Demande d'un écran supplémentaire,Matériel,1
Mise à jour d'Adobe Reader demandée,Logiciel,2
Bug d'affichage sur l'intranet (couleur),Logiciel,3
Lenteur au démarrage de Windows,Logiciel,4
Coupure internet intermittente,Réseau,5
Impossible d'accéder au lecteur réseau partagé,Réseau,6
Le VPN déconnecte toutes les 10 minutes,Réseau,6
Le serveur de fichiers est éteint,Infra,9
Panne totale de la base de données patients,Infra,10
Odeur de brûlé dans la salle serveur,Sécurité,10
Attaque ransomware en cours,Sécurité,10
Besoin d'une nouvelle souris sans fil,Matériel,1
Mon clavier ne marche plus,Matériel,2
Demande d'un écran supplémentaire,Matériel,1
Mise à jour d'Adobe Reader demandée,Logiciel,2
Bug d'affichage sur l'intranet (couleur),Logiciel,3
Lenteur au démarrage de Windows,Logiciel,4
Coupure internet intermittente,Réseau,5
Impossible d'accéder au lecteur réseau partagé,Réseau,6
Le VPN déconnecte toutes les 10 minutes,Réseau,6
Le serveur de fichiers est éteint,Infra,9
Panne totale de la base de données patients,Infra,10
Odeur de brûlé dans la salle serveur,Sécurité,10
Attaque ransomware en cours,Sécurité,10
Besoin d'une nouvelle souris sans fil,Matériel,1
Mon clavier ne marche plus,Matériel,2
Demande d'un écran supplémentaire,Matériel,1
Mise à jour d'Adobe Reader demandée,Logiciel,2
Bug d'affichage sur l'intranet (couleur),Logiciel,3
Lenteur au démarrage de Windows,Logiciel,4
Coupure internet intermittente,Réseau,5
Impossible d'accéder au lecteur réseau partagé,Réseau,6
Le VPN déconnecte toutes les 10 minutes,Réseau,6
Le serveur de fichiers est éteint,Infra,9
Panne totale de la base de données patients,Infra,10
Odeur de brûlé dans la salle serveur,Sécurité,10
Attaque ransomware en cours,Sécurité,10
Besoin d'une nouvelle souris sans fil,Matériel,1
Mon clavier ne marche plus,Matériel,2
Demande d'un écran supplémentaire,Matériel,1
Mise à jour d'Adobe Reader demandée,Logiciel,2
Bug d'affichage sur l'intranet (couleur),Logiciel,3
Lenteur au démarrage de Windows,Logiciel,4
Coupure internet intermittente,Réseau,5
Impossible d'accéder au lecteur réseau partagé,Réseau,6
Le VPN déconnecte toutes les 10 minutes,Réseau,6
Le serveur de fichiers est éteint,Infra,9
Panne totale de la base de données patients,Infra,10
Odeur de brûlé dans la salle serveur,Sécurité,10
Attaque ransomware en cours,Sécurité,10
Besoin d'une nouvelle souris sans fil,Matériel,1
Mon clavier ne marche plus,Matériel,2
Demande d'un écran supplémentaire,Matériel,1
Mise à jour d'Adobe Reader demandée,Logiciel,2
Bug d'affichage sur l'intranet (couleur),Logiciel,3
Lenteur au démarrage de Windows,Logiciel,4
Coupure internet intermittente,Réseau,5
Impossible d'accéder au lecteur réseau partagé,Réseau,6
Le VPN déconnecte toutes les 10 minutes,Réseau,6
Le serveur de fichiers est éteint,Infra,9
Panne totale de la base de données patients,Infra,10
Odeur de brûlé dans la salle serveur,Sécurité,10
Attaque ransomware en cours,Sécurité,10
Besoin d'une nouvelle souris sans fil,Matériel,1
Mon clavier ne marche plus,Matériel,2
Demande d'un écran supplémentaire,Matériel,1
Mise à jour d'Adobe Reader demandée,Logiciel,2
Bug d'affichage sur l'intranet (couleur),Logiciel,3
Lenteur au démarrage de Windows,Logiciel,4
Coupure internet intermittente,Réseau,5
Impossible d'accéder au lecteur réseau partagé,Réseau,6
Le VPN déconnecte toutes les 10 minutes,Réseau,6
Le serveur de fichiers est éteint,Infra,9
Panne totale de la base de données patients,Infra,10
Odeur de brûlé dans la salle serveur,Sécurité,10
Attaque ransomware en cours,Sécurité,10
Besoin d'une nouvelle souris sans fil,Matériel,1
Mon clavier ne marche plus,Matériel,2
Demande d'un écran supplémentaire,Matériel,1
Mise à jour d'Adobe Reader demandée,Logiciel,2
Bug d'affichage sur l'intranet (couleur),Logiciel,3
Lenteur au démarrage de Windows,Logiciel,4
Coupure internet intermittente,Réseau,5
Impossible d'accéder au lecteur réseau partagé,Réseau,6
Le VPN déconnecte toutes les 10 minutes,Réseau,6
Le serveur de fichiers est éteint,Infra,9
Panne totale de la base de données patients,Infra,10
Odeur de brûlé dans la salle serveur,Sécurité,10
Attaque ransomware en cours,Sécurité,10
