Numéro_du_Ticket,ID_Client,Texte_du_ticket,Catégorie,Urgence_Déclarée,Importance_Client,SLA_Priorité,Equipe_Cible
TICK-1001,CLI-130,J'ai oublié mon mot de passe de session.,Accès,2,1,2,Security-Ops
TICK-1002,CLI-131,Mon badge d'entrée ne fonctionne plus.,RH,4,5,4,Support-Admin
TICK-1003,CLI-101,Demande d'information sur la mutuelle d'entreprise.,RH,1,3,3,Support-Admin
TICK-1004,CLI-125,Mise à jour logicielle nécessaire pour le service compta.,Logiciel,2,1,3,Dev-Core
TICK-1005,CLI-138,Compte bloqué après 3 tentatives infructueuses.,Accès,2,1,3,Security-Ops
TICK-1006,CLI-150,Déclaration de télétravail non validée par le système.,RH,5,2,2,Support-Admin
TICK-1007,CLI-102,J'ai oublié mon mot de passe de session.,Accès,5,1,2,Security-Ops
TICK-1008,CLI-103,"Lenteur extrême sur le réseau local, impossible de travailler.",Réseau,3,5,6,Infra-Net
TICK-1009,CLI-125,J'ai oublié mon mot de passe de session.,Accès,1,2,2,Security-Ops
TICK-1010,CLI-141,J'ai oublié mon mot de passe de session.,Accès,4,1,2,Security-Ops
TICK-1011,CLI-148,"Lenteur extrême sur le réseau local, impossible de travailler.",Réseau,2,4,6,Infra-Net
TICK-1012,CLI-133,Erreur de base de données lors de la sauvegarde.,Logiciel,3,4,3,Dev-Core
TICK-1013,CLI-103,Comment poser mes congés sur le nouveau portail ?,RH,1,2,2,Support-Admin
TICK-1014,CLI-106,Le switch principal semble avoir grillé.,Réseau,1,5,5,Infra-Net
TICK-1015,CLI-119,L'imprimante du service marketing fait un bruit anormal.,Matériel,4,2,2,IT-Hardware
TICK-1016,CLI-108,Coupure totale d'internet dans tout le bâtiment.,Réseau,2,2,8,Infra-Net
TICK-1017,CLI-106,"Accès VPN impossible depuis ce matin, erreur 404.",Réseau,3,2,4,Infra-Net
TICK-1018,CLI-103,Compte bloqué après 3 tentatives infructueuses.,Accès,2,4,6,Security-Ops
TICK-1019,CLI-114,Le wifi ne fonctionne plus au 3ème étage.,Réseau,1,1,3,Infra-Net
TICK-1020,CLI-149,Mon écran reste noir malgré le branchement.,Matériel,3,3,4,IT-Hardware
TICK-1021,CLI-150,Besoin d'un nouveau chargeur pour mon laptop Dell.,Matériel,3,1,2,IT-Hardware
TICK-1022,CLI-108,Comment poser mes congés sur le nouveau portail ?,RH,1,5,4,Support-Admin
TICK-1023,CLI-112,Besoin d'un nouveau chargeur pour mon laptop Dell.,Matériel,3,2,3,IT-Hardware
TICK-1024,CLI-118,Impossible d'exporter le rapport mensuel en PDF.,Logiciel,3,1,4,Dev-Core
TICK-1025,CLI-143,L'imprimante du service marketing fait un bruit anormal.,Matériel,2,4,4,IT-Hardware
TICK-1026,CLI-144,Compte bloqué après 3 tentatives infructueuses.,Accès,4,3,5,Security-Ops
TICK-1027,CLI-138,Alerte de sécurité : tentative de connexion suspecte.,Accès,2,1,9,Security-Ops
TICK-1028,CLI-104,Comment poser mes congés sur le nouveau portail ?,RH,1,3,4,Support-Admin
TICK-1029,CLI-105,Erreur de base de données lors de la sauvegarde.,Logiciel,4,1,3,Dev-Core
TICK-1030,CLI-140,Mon écran reste noir malgré le branchement.,Matériel,4,1,3,IT-Hardware
TICK-1031,CLI-143,Compte bloqué après 3 tentatives infructueuses.,Accès,5,5,6,Security-Ops
TICK-1032,CLI-132,Alerte de sécurité : tentative de connexion suspecte.,Accès,2,4,9,Security-Ops
TICK-1033,CLI-111,Besoin d'un nouveau chargeur pour mon laptop Dell.,Matériel,5,2,3,IT-Hardware
TICK-1034,CLI-127,"Accès VPN impossible depuis ce matin, erreur 404.",Réseau,4,1,3,Infra-Net
TICK-1035,CLI-135,Bug d'affichage sur le dashboard des ventes.,Logiciel,5,3,4,Dev-Core
TICK-1036,CLI-108,Demande d'accès au dossier partagé 'Finance'.,Accès,5,5,4,Security-Ops
TICK-1037,CLI-137,Compte bloqué après 3 tentatives infructueuses.,Accès,4,5,6,Security-Ops
TICK-1038,CLI-135,Coupure totale d'internet dans tout le bâtiment.,Réseau,1,1,8,Infra-Net
TICK-1039,CLI-122,Mon badge d'entrée ne fonctionne plus.,RH,2,1,2,Support-Admin
TICK-1040,CLI-104,Problème de lecture sur ma fiche de paie de janvier.,RH,4,4,4,Support-Admin
TICK-1041,CLI-101,L'application métier plante au démarrage.,Logiciel,5,1,3,Dev-Core
TICK-1042,CLI-110,Alerte de sécurité : tentative de connexion suspecte.,Accès,4,5,10,Security-Ops
TICK-1043,CLI-130,Alerte de sécurité : tentative de connexion suspecte.,Accès,5,4,9,Security-Ops
TICK-1044,CLI-143,Mise à jour logicielle nécessaire pour le service compta.,Logiciel,3,5,5,Dev-Core
TICK-1045,CLI-104,Mise à jour logicielle nécessaire pour le service compta.,Logiciel,2,2,2,Dev-Core
TICK-1046,CLI-140,"Lenteur extrême sur le réseau local, impossible de travailler.",Réseau,1,3,4,Infra-Net
TICK-1047,CLI-104,Mon badge d'entrée ne fonctionne plus.,RH,3,5,5,Support-Admin
TICK-1048,CLI-128,Problème de lecture sur ma fiche de paie de janvier.,RH,1,2,2,Support-Admin
TICK-1049,CLI-103,Besoin d'un nouveau chargeur pour mon laptop Dell.,Matériel,3,3,3,IT-Hardware
TICK-1050,CLI-145,Clavier défectueux : certaines touches ne répondent pas.,Matériel,3,5,5,IT-Hardware
TICK-1051,CLI-132,Alerte de sécurité : tentative de connexion suspecte.,Accès,5,2,9,Security-Ops
TICK-1052,CLI-121,Le switch principal semble avoir grillé.,Réseau,1,4,6,Infra-Net
TICK-1053,CLI-142,Clavier défectueux : certaines touches ne répondent pas.,Matériel,1,2,2,IT-Hardware
TICK-1054,CLI-131,Déclaration de télétravail non validée par le système.,RH,2,2,3,Support-Admin
TICK-1055,CLI-120,Le wifi ne fonctionne plus au 3ème étage.,Réseau,4,2,2,Infra-Net
TICK-1056,CLI-150,Erreur de base de données lors de la sauvegarde.,Logiciel,4,2,2,Dev-Core
TICK-1057,CLI-137,Comment poser mes congés sur le nouveau portail ?,RH,2,3,3,Support-Admin
TICK-1058,CLI-147,"La souris ne répond plus, même après changement de piles.",Matériel,2,1,2,IT-Hardware
TICK-1059,CLI-130,J'ai oublié mon mot de passe de session.,Accès,4,1,3,Security-Ops
TICK-1060,CLI-131,Mon badge d'entrée ne fonctionne plus.,RH,2,1,3,Support-Admin
TICK-1061,CLI-150,Bug d'affichage sur le dashboard des ventes.,Logiciel,5,3,3,Dev-Core
TICK-1062,CLI-126,Erreur de base de données lors de la sauvegarde.,Logiciel,5,2,3,Dev-Core
TICK-1063,CLI-137,Mon badge d'entrée ne fonctionne plus.,RH,2,3,3,Support-Admin
TICK-1064,CLI-139,Erreur de base de données lors de la sauvegarde.,Logiciel,3,4,3,Dev-Core
TICK-1065,CLI-126,Mon badge d'entrée ne fonctionne plus.,RH,1,4,4,Support-Admin
TICK-1066,CLI-122,Comment poser mes congés sur le nouveau portail ?,RH,5,3,3,Support-Admin
TICK-1067,CLI-118,Coupure totale d'internet dans tout le bâtiment.,Réseau,1,4,9,Infra-Net
TICK-1068,CLI-126,Le wifi ne fonctionne plus au 3ème étage.,Réseau,5,3,4,Infra-Net
TICK-1069,CLI-117,Le switch principal semble avoir grillé.,Réseau,3,2,5,Infra-Net
TICK-1070,CLI-120,"Lenteur extrême sur le réseau local, impossible de travailler.",Réseau,4,3,5,Infra-Net
TICK-1071,CLI-135,Problème de lecture sur ma fiche de paie de janvier.,RH,5,5,5,Support-Admin
TICK-1072,CLI-103,Mon écran reste noir malgré le branchement.,Matériel,3,3,4,IT-Hardware
TICK-1073,CLI-138,Le wifi ne fonctionne plus au 3ème étage.,Réseau,5,5,4,Infra-Net
TICK-1074,CLI-136,Comment poser mes congés sur le nouveau portail ?,RH,3,5,5,Support-Admin
TICK-1075,CLI-121,Clavier défectueux : certaines touches ne répondent pas.,Matériel,2,5,5,IT-Hardware
TICK-1076,CLI-125,Mon écran reste noir malgré le branchement.,Matériel,3,2,3,IT-Hardware
TICK-1077,CLI-116,Nouvel arrivant : création de compte et accès mail.,Accès,4,1,2,Security-Ops
TICK-1078,CLI-125,Comment poser mes congés sur le nouveau portail ?,RH,2,5,4,Support-Admin
TICK-1079,CLI-133,Demande d'information sur la mutuelle d'entreprise.,RH,1,5,5,Support-Admin
TICK-1080,CLI-127,Demande d'information sur la mutuelle d'entreprise.,RH,3,2,3,Support-Admin
TICK-1081,CLI-101,Demande d'accès au dossier partagé 'Finance'.,Accès,2,1,3,Security-Ops
TICK-1082,CLI-126,Compte bloqué après 3 tentatives infructueuses.,Accès,4,3,5,Security-Ops
TICK-1083,CLI-139,Coupure totale d'internet dans tout le bâtiment.,Réseau,1,3,10,Infra-Net
TICK-1084,CLI-129,Nouvel arrivant : création de compte et accès mail.,Accès,3,3,3,Security-Ops
TICK-1085,CLI-144,Comment poser mes congés sur le nouveau portail ?,RH,1,2,3,Support-Admin
TICK-1086,CLI-146,Problème de lecture sur ma fiche de paie de janvier.,RH,2,5,5,Support-Admin
TICK-1087,CLI-139,Mon badge d'entrée ne fonctionne plus.,RH,2,5,4,Support-Admin
TICK-1088,CLI-111,Problème de lecture sur ma fiche de paie de janvier.,RH,5,5,5,Support-Admin
TICK-1089,CLI-114,Bug d'affichage sur le dashboard des ventes.,Logiciel,5,4,4,Dev-Core
TICK-1090,CLI-120,Compte bloqué après 3 tentatives infructueuses.,Accès,3,2,4,Security-Ops
TICK-1091,CLI-126,Demande d'information sur la mutuelle d'entreprise.,RH,3,2,3,Support-Admin
TICK-1092,CLI-120,Besoin d'un nouveau chargeur pour mon laptop Dell.,Matériel,2,4,3,IT-Hardware
TICK-1093,CLI-106,Coupure totale d'internet dans tout le bâtiment.,Réseau,5,2,8,Infra-Net
TICK-1094,CLI-144,Mon badge d'entrée ne fonctionne plus.,RH,4,2,2,Support-Admin
TICK-1095,CLI-131,Nouvel arrivant : création de compte et accès mail.,Accès,5,1,3,Security-Ops
TICK-1096,CLI-124,Le wifi ne fonctionne plus au 3ème étage.,Réseau,4,4,3,Infra-Net
TICK-1097,CLI-117,"Accès VPN impossible depuis ce matin, erreur 404.",Réseau,2,2,4,Infra-Net
TICK-1098,CLI-140,Demande d'accès au dossier partagé 'Finance'.,Accès,1,5,4,Security-Ops
TICK-1099,CLI-100,Clavier défectueux : certaines touches ne répondent pas.,Matériel,3,2,2,IT-Hardware
TICK-1100,CLI-119,Demande d'accès au dossier partagé 'Finance'.,Accès,3,2,3,Security-Ops
TICK-1101,CLI-125,Bug d'affichage sur le dashboard des ventes.,Logiciel,5,5,4,Dev-Core
TICK-1102,CLI-136,Clavier défectueux : certaines touches ne répondent pas.,Matériel,3,4,4,IT-Hardware
TICK-1103,CLI-142,Mon badge d'entrée ne fonctionne plus.,RH,2,1,3,Support-Admin
TICK-1104,CLI-136,Le switch principal semble avoir grillé.,Réseau,2,3,4,Infra-Net
TICK-1105,CLI-126,Mon écran reste noir malgré le branchement.,Matériel,1,3,4,IT-Hardware
TICK-1106,CLI-131,Mon badge d'entrée ne fonctionne plus.,RH,2,3,4,Support-Admin
TICK-1107,CLI-105,Problème de lecture sur ma fiche de paie de janvier.,RH,3,5,4,Support-Admin
TICK-1108,CLI-108,Le wifi ne fonctionne plus au 3ème étage.,Réseau,4,2,3,Infra-Net
TICK-1109,CLI-143,Demande d'accès au dossier partagé 'Finance'.,Accès,1,1,3,Security-Ops
TICK-1110,CLI-111,Compte bloqué après 3 tentatives infructueuses.,Accès,2,1,4,Security-Ops
TICK-1111,CLI-116,Demande d'accès au dossier partagé 'Finance'.,Accès,4,5,5,Security-Ops
TICK-1112,CLI-115,"La souris ne répond plus, même après changement de piles.",Matériel,4,1,3,IT-Hardware
TICK-1113,CLI-112,Mon badge d'entrée ne fonctionne plus.,RH,1,2,2,Support-Admin
TICK-1114,CLI-136,Comment poser mes congés sur le nouveau portail ?,RH,5,2,2,Support-Admin
TICK-1115,CLI-134,Nouvel arrivant : création de compte et accès mail.,Accès,2,4,4,Security-Ops
TICK-1116,CLI-147,"Accès VPN impossible depuis ce matin, erreur 404.",Réseau,5,1,4,Infra-Net
TICK-1117,CLI-129,Nouvel arrivant : création de compte et accès mail.,Accès,2,4,4,Security-Ops
TICK-1118,CLI-115,Demande d'information sur la mutuelle d'entreprise.,RH,1,1,3,Support-Admin
TICK-1119,CLI-129,Impossible d'exporter le rapport mensuel en PDF.,Logiciel,5,3,5,Dev-Core
TICK-1120,CLI-113,"La souris ne répond plus, même après changement de piles.",Matériel,4,5,5,IT-Hardware
TICK-1121,CLI-134,Besoin d'un nouveau chargeur pour mon laptop Dell.,Matériel,2,2,3,IT-Hardware
TICK-1122,CLI-113,Alerte de sécurité : tentative de connexion suspecte.,Accès,4,1,8,Security-Ops
TICK-1123,CLI-118,Mon badge d'entrée ne fonctionne plus.,RH,5,1,3,Support-Admin
TICK-1124,CLI-131,Impossible d'exporter le rapport mensuel en PDF.,Logiciel,2,4,6,Dev-Core
TICK-1125,CLI-133,Compte bloqué après 3 tentatives infructueuses.,Accès,1,3,4,Security-Ops
TICK-1126,CLI-107,Coupure totale d'internet dans tout le bâtiment.,Réseau,3,2,8,Infra-Net
TICK-1127,CLI-123,Bug d'affichage sur le dashboard des ventes.,Logiciel,4,1,2,Dev-Core
TICK-1128,CLI-108,Coupure totale d'internet dans tout le bâtiment.,Réseau,3,5,10,Infra-Net
TICK-1129,CLI-132,Demande d'accès au dossier partagé 'Finance'.,Accès,3,3,4,Security-Ops
TICK-1130,CLI-112,"Accès VPN impossible depuis ce matin, erreur 404.",Réseau,1,2,5,Infra-Net
TICK-1131,CLI-129,Compte bloqué après 3 tentatives infructueuses.,Accès,4,1,3,Security-Ops
TICK-1132,CLI-146,Bug d'affichage sur le dashboard des ventes.,Logiciel,2,5,5,Dev-Core
TICK-1133,CLI-150,Nouvel arrivant : création de compte et accès mail.,Accès,3,2,3,Security-Ops
TICK-1134,CLI-120,Erreur de base de données lors de la sauvegarde.,Logiciel,5,1,2,Dev-Core
TICK-1135,CLI-142,Comment poser mes congés sur le nouveau portail ?,RH,5,3,4,Support-Admin
TICK-1136,CLI-106,L'application métier plante au démarrage.,Logiciel,4,3,3,Dev-Core
TICK-1137,CLI-122,Mon badge d'entrée ne fonctionne plus.,RH,4,4,3,Support-Admin
TICK-1138,CLI-124,Problème de lecture sur ma fiche de paie de janvier.,RH,3,5,5,Support-Admin
TICK-1139,CLI-128,"La souris ne répond plus, même après changement de piles.",Matériel,4,2,3,IT-Hardware
TICK-1140,CLI-128,"La souris ne répond plus, même après changement de piles.",Matériel,4,1,3,IT-Hardware
TICK-1141,CLI-142,Demande d'information sur la mutuelle d'entreprise.,RH,3,2,2,Support-Admin
TICK-1142,CLI-105,Mon badge d'entrée ne fonctionne plus.,RH,2,1,2,Support-Admin
TICK-1143,CLI-101,Le switch principal semble avoir grillé.,Réseau,2,3,4,Infra-Net
TICK-1144,CLI-137,Déclaration de télétravail non validée par le système.,RH,4,2,3,Support-Admin
TICK-1145,CLI-108,Demande d'accès au dossier partagé 'Finance'.,Accès,1,4,3,Security-Ops
TICK-1146,CLI-142,Comment poser mes congés sur le nouveau portail ?,RH,2,3,4,Support-Admin
TICK-1147,CLI-123,Besoin d'un nouveau chargeur pour mon laptop Dell.,Matériel,2,4,4,IT-Hardware
TICK-1148,CLI-117,Impossible d'exporter le rapport mensuel en PDF.,Logiciel,4,1,4,Dev-Core
TICK-1149,CLI-121,Mon écran reste noir malgré le branchement.,Matériel,2,5,5,IT-Hardware
TICK-1150,CLI-127,L'imprimante du service marketing fait un bruit anormal.,Matériel,1,2,3,IT-Hardware
TICK-1151,CLI-146,Clavier défectueux : certaines touches ne répondent pas.,Matériel,2,2,3,IT-Hardware
TICK-1152,CLI-133,Clavier défectueux : certaines touches ne répondent pas.,Matériel,3,1,3,IT-Hardware
TICK-1153,CLI-132,Comment poser mes congés sur le nouveau portail ?,RH,4,1,2,Support-Admin
TICK-1154,CLI-147,"La souris ne répond plus, même après changement de piles.",Matériel,3,5,4,IT-Hardware
TICK-1155,CLI-101,Clavier défectueux : certaines touches ne répondent pas.,Matériel,3,1,2,IT-Hardware
TICK-1156,CLI-131,Erreur de base de données lors de la sauvegarde.,Logiciel,4,1,3,Dev-Core
TICK-1157,CLI-107,Coupure totale d'internet dans tout le bâtiment.,Réseau,1,2,9,Infra-Net
TICK-1158,CLI-116,Clavier défectueux : certaines touches ne répondent pas.,Matériel,4,2,2,IT-Hardware
TICK-1159,CLI-107,Besoin d'un nouveau chargeur pour mon laptop Dell.,Matériel,4,1,3,IT-Hardware
TICK-1160,CLI-103,Compte bloqué après 3 tentatives infructueuses.,Accès,1,4,6,Security-Ops
TICK-1161,CLI-113,L'imprimante du service marketing fait un bruit anormal.,Matériel,4,1,2,IT-Hardware
TICK-1162,CLI-134,Impossible d'exporter le rapport mensuel en PDF.,Logiciel,3,1,3,Dev-Core
TICK-1163,CLI-100,Le switch principal semble avoir grillé.,Réseau,1,2,4,Infra-Net
TICK-1164,CLI-105,Erreur de base de données lors de la sauvegarde.,Logiciel,3,1,2,Dev-Core
TICK-1165,CLI-150,L'application métier plante au démarrage.,Logiciel,3,1,3,Dev-Core
TICK-1166,CLI-109,Déclaration de télétravail non validée par le système.,RH,2,4,4,Support-Admin
TICK-1167,CLI-115,Nouvel arrivant : création de compte et accès mail.,Accès,4,4,3,Security-Ops
TICK-1168,CLI-110,Mise à jour logicielle nécessaire pour le service compta.,Logiciel,4,4,3,Dev-Core
TICK-1169,CLI-114,Alerte de sécurité : tentative de connexion suspecte.,Accès,3,4,9,Security-Ops
TICK-1170,CLI-108,Le switch principal semble avoir grillé.,Réseau,5,1,3,Infra-Net
TICK-1171,CLI-103,Alerte de sécurité : tentative de connexion suspecte.,Accès,3,5,10,Security-Ops
TICK-1172,CLI-109,Impossible d'exporter le rapport mensuel en PDF.,Logiciel,5,1,4,Dev-Core
TICK-1173,CLI-102,Clavier défectueux : certaines touches ne répondent pas.,Matériel,1,3,3,IT-Hardware
TICK-1174,CLI-150,Clavier défectueux : certaines touches ne répondent pas.,Matériel,4,2,3,IT-Hardware
TICK-1175,CLI-115,"Accès VPN impossible depuis ce matin, erreur 404.",Réseau,5,1,3,Infra-Net
TICK-1176,CLI-103,Demande d'accès au dossier partagé 'Finance'.,Accès,2,2,2,Security-Ops
TICK-1177,CLI-143,Bug d'affichage sur le dashboard des ventes.,Logiciel,5,3,3,Dev-Core
TICK-1178,CLI-100,Le switch principal semble avoir grillé.,Réseau,2,1,4,Infra-Net
TICK-1179,CLI-134,Demande d'accès au dossier partagé 'Finance'.,Accès,4,5,4,Security-Ops
TICK-1180,CLI-103,Problème de lecture sur ma fiche de paie de janvier.,RH,3,1,2,Support-Admin
TICK-1181,CLI-146,Alerte de sécurité : tentative de connexion suspecte.,Accès,5,2,8,Security-Ops
TICK-1182,CLI-112,Mon écran reste noir malgré le branchement.,Matériel,2,1,2,IT-Hardware
TICK-1183,CLI-126,L'application métier plante au démarrage.,Logiciel,1,4,4,Dev-Core
TICK-1184,CLI-124,Le switch principal semble avoir grillé.,Réseau,4,4,6,Infra-Net
TICK-1185,CLI-100,"La souris ne répond plus, même après changement de piles.",Matériel,3,5,5,IT-Hardware
TICK-1186,CLI-122,Mon badge d'entrée ne fonctionne plus.,RH,2,1,3,Support-Admin
TICK-1187,CLI-114,Alerte de sécurité : tentative de connexion suspecte.,Accès,1,2,8,Security-Ops
TICK-1188,CLI-118,Mise à jour logicielle nécessaire pour le service compta.,Logiciel,3,2,2,Dev-Core
TICK-1189,CLI-148,Déclaration de télétravail non validée par le système.,RH,2,4,4,Support-Admin
TICK-1190,CLI-105,Clavier défectueux : certaines touches ne répondent pas.,Matériel,2,4,3,IT-Hardware
TICK-1191,CLI-132,L'application métier plante au démarrage.,Logiciel,1,1,3,Dev-Core
TICK-1192,CLI-147,Besoin d'un nouveau chargeur pour mon laptop Dell.,Matériel,4,3,4,IT-Hardware
TICK-1193,CLI-140,L'imprimante du service marketing fait un bruit anormal.,Matériel,2,5,4,IT-Hardware
TICK-1194,CLI-115,Comment poser mes congés sur le nouveau portail ?,RH,3,3,4,Support-Admin
TICK-1195,CLI-130,Impossible d'exporter le rapport mensuel en PDF.,Logiciel,5,2,4,Dev-Core
TICK-1196,CLI-123,"La souris ne répond plus, même après changement de piles.",Matériel,3,3,4,IT-Hardware
TICK-1197,CLI-136,Impossible d'exporter le rapport mensuel en PDF.,Logiciel,1,3,5,Dev-Core
TICK-1198,CLI-138,Le wifi ne fonctionne plus au 3ème étage.,Réseau,4,1,2,Infra-Net
TICK-1199,CLI-105,Bug d'affichage sur le dashboard des ventes.,Logiciel,3,3,3,Dev-Core
TICK-1200,CLI-138,Mise à jour logicielle nécessaire pour le service compta.,Logiciel,1,1,2,Dev-Core
TICK-1201,CLI-119,L'application métier plante au démarrage.,Logiciel,4,5,4,Dev-Core
TICK-1202,CLI-142,L'imprimante du service marketing fait un bruit anormal.,Matériel,5,1,2,IT-Hardware
TICK-1203,CLI-114,J'ai oublié mon mot de passe de session.,Accès,1,1,2,Security-Ops
TICK-1204,CLI-139,Demande d'accès au dossier partagé 'Finance'.,Accès,3,2,2,Security-Ops
TICK-1205,CLI-141,J'ai oublié mon mot de passe de session.,Accès,1,3,3,Security-Ops
TICK-1206,CLI-129,Problème de lecture sur ma fiche de paie de janvier.,RH,3,1,2,Support-Admin
TICK-1207,CLI-117,Impossible d'exporter le rapport mensuel en PDF.,Logiciel,4,1,3,Dev-Core
TICK-1208,CLI-133,"Lenteur extrême sur le réseau local, impossible de travailler.",Réseau,5,5,6,Infra-Net
TICK-1209,CLI-117,Nouvel arrivant : création de compte et accès mail.,Accès,1,3,3,Security-Ops
TICK-1210,CLI-109,Demande d'accès au dossier partagé 'Finance'.,Accès,3,1,2,Security-Ops
TICK-1211,CLI-112,J'ai oublié mon mot de passe de session.,Accès,1,5,5,Security-Ops
TICK-1212,CLI-112,Erreur de base de données lors de la sauvegarde.,Logiciel,2,1,2,Dev-Core
TICK-1213,CLI-146,Erreur de base de données lors de la sauvegarde.,Logiciel,4,2,3,Dev-Core
TICK-1214,CLI-129,Mise à jour logicielle nécessaire pour le service compta.,Logiciel,2,5,4,Dev-Core
TICK-1215,CLI-119,Erreur de base de données lors de la sauvegarde.,Logiciel,4,4,3,Dev-Core
TICK-1216,CLI-112,"Lenteur extrême sur le réseau local, impossible de travailler.",Réseau,3,4,6,Infra-Net
TICK-1217,CLI-140,Nouvel arrivant : création de compte et accès mail.,Accès,3,3,3,Security-Ops
TICK-1218,CLI-125,Déclaration de télétravail non validée par le système.,RH,2,2,2,Support-Admin
TICK-1219,CLI-114,Le switch principal semble avoir grillé.,Réseau,5,5,6,Infra-Net
TICK-1220,CLI-136,Bug d'affichage sur le dashboard des ventes.,Logiciel,5,4,3,Dev-Core
TICK-1221,CLI-135,Mise à jour logicielle nécessaire pour le service compta.,Logiciel,3,4,4,Dev-Core
TICK-1222,CLI-103,Clavier défectueux : certaines touches ne répondent pas.,Matériel,3,4,4,IT-Hardware
TICK-1223,CLI-134,"Accès VPN impossible depuis ce matin, erreur 404.",Réseau,2,2,4,Infra-Net
TICK-1224,CLI-149,Le wifi ne fonctionne plus au 3ème étage.,Réseau,3,3,3,Infra-Net
TICK-1225,CLI-125,Mise à jour logicielle nécessaire pour le service compta.,Logiciel,1,1,2,Dev-Core
TICK-1226,CLI-108,Mon badge d'entrée ne fonctionne plus.,RH,5,4,3,Support-Admin
TICK-1227,CLI-100,Impossible d'exporter le rapport mensuel en PDF.,Logiciel,2,5,6,Dev-Core
TICK-1228,CLI-121,L'imprimante du service marketing fait un bruit anormal.,Matériel,2,2,3,IT-Hardware
TICK-1229,CLI-133,Coupure totale d'internet dans tout le bâtiment.,Réseau,2,3,10,Infra-Net
TICK-1230,CLI-113,Bug d'affichage sur le dashboard des ventes.,Logiciel,5,1,3,Dev-Core
TICK-1231,CLI-112,Mon écran reste noir malgré le branchement.,Matériel,3,4,3,IT-Hardware
TICK-1232,CLI-141,"Accès VPN impossible depuis ce matin, erreur 404.",Réseau,1,3,4,Infra-Net
TICK-1233,CLI-119,Le wifi ne fonctionne plus au 3ème étage.,Réseau,5,3,4,Infra-Net
TICK-1234,CLI-101,Le wifi ne fonctionne plus au 3ème étage.,Réseau,4,2,2,Infra-Net
TICK-1235,CLI-146,"Lenteur extrême sur le réseau local, impossible de travailler.",Réseau,1,4,5,Infra-Net
TICK-1236,CLI-141,Coupure totale d'internet dans tout le bâtiment.,Réseau,4,4,10,Infra-Net
TICK-1237,CLI-137,Erreur de base de données lors de la sauvegarde.,Logiciel,2,5,4,Dev-Core
TICK-1238,CLI-115,L'imprimante du service marketing fait un bruit anormal.,Matériel,1,3,3,IT-Hardware
TICK-1239,CLI-145,Comment poser mes congés sur le nouveau portail ?,RH,3,5,4,Support-Admin
TICK-1240,CLI-139,Mon badge d'entrée ne fonctionne plus.,RH,2,1,2,Support-Admin
TICK-1241,CLI-109,Mon badge d'entrée ne fonctionne plus.,RH,4,3,3,Support-Admin
TICK-1242,CLI-107,Mon écran reste noir malgré le branchement.,Matériel,5,5,4,IT-Hardware
TICK-1243,CLI-118,L'application métier plante au démarrage.,Logiciel,4,1,3,Dev-Core
TICK-1244,CLI-137,Problème de lecture sur ma fiche de paie de janvier.,RH,3,3,4,Support-Admin
TICK-1245,CLI-111,"La souris ne répond plus, même après changement de piles.",Matériel,5,3,3,IT-Hardware
TICK-1246,CLI-131,Mon écran reste noir malgré le branchement.,Matériel,4,2,2,IT-Hardware
TICK-1247,CLI-125,Clavier défectueux : certaines touches ne répondent pas.,Matériel,2,1,3,IT-Hardware
TICK-1248,CLI-148,Demande d'accès au dossier partagé 'Finance'.,Accès,5,4,3,Security-Ops
TICK-1249,CLI-101,Demande d'information sur la mutuelle d'entreprise.,RH,2,3,4,Support-Admin
