Numéro_du_Ticket,ID_Client,Texte_du_ticket,Catégorie,Urgence_Déclarée,Importance_Client,SLA_Priorité,Equipe_Cible
TICK-1250,CLI-110,Demande d'information sur la mutuelle d'entreprise.,RH,3,4,4,Support-Admin
TICK-1251,CLI-149,Déclaration de télétravail non validée par le système.,RH,5,3,4,Support-Admin
TICK-1252,CLI-104,Mon écran reste noir malgré le branchement.,Matériel,3,2,2,IT-Hardware
TICK-1253,CLI-112,Mise à jour logicielle nécessaire pour le service compta.,Logiciel,3,1,2,Dev-Core
TICK-1254,CLI-113,L'imprimante du service marketing fait un bruit anormal.,Matériel,4,5,4,IT-Hardware
TICK-1255,CLI-138,Mon écran reste noir malgré le branchement.,Matériel,5,3,4,IT-Hardware
TICK-1256,CLI-108,"Lenteur extrême sur le réseau local, impossible de travailler.",Réseau,2,2,5,Infra-Net
TICK-1257,CLI-121,Erreur de base de données lors de la sauvegarde.,Logiciel,1,1,3,Dev-Core
TICK-1258,CLI-150,Demande d'information sur la mutuelle d'entreprise.,RH,5,1,2,Support-Admin
TICK-1259,CLI-105,L'imprimante du service marketing fait un bruit anormal.,Matériel,2,3,4,IT-Hardware
TICK-1260,CLI-115,Problème de lecture sur ma fiche de paie de janvier.,RH,1,2,2,Support-Admin
TICK-1261,CLI-116,Impossible d'exporter le rapport mensuel en PDF.,Logiciel,1,3,5,Dev-Core
TICK-1262,CLI-138,Le wifi ne fonctionne plus au 3ème étage.,Réseau,3,4,3,Infra-Net
TICK-1263,CLI-138,L'imprimante du service marketing fait un bruit anormal.,Matériel,4,5,4,IT-Hardware
TICK-1264,CLI-109,Le wifi ne fonctionne plus au 3ème étage.,Réseau,4,4,4,Infra-Net
TICK-1265,CLI-117,Bug d'affichage sur le dashboard des ventes.,Logiciel,1,3,4,Dev-Core
TICK-1266,CLI-126,Impossible d'exporter le rapport mensuel en PDF.,Logiciel,2,1,3,Dev-Core
TICK-1267,CLI-121,Compte bloqué après 3 tentatives infructueuses.,Accès,2,4,5,Security-Ops
TICK-1268,CLI-141,Le wifi ne fonctionne plus au 3ème étage.,Réseau,2,4,3,Infra-Net
TICK-1269,CLI-146,Besoin d'un nouveau chargeur pour mon laptop Dell.,Matériel,4,5,4,IT-Hardware
TICK-1270,CLI-130,Nouvel arrivant : création de compte et accès mail.,Accès,1,1,3,Security-Ops
TICK-1271,CLI-123,Erreur de base de données lors de la sauvegarde.,Logiciel,4,2,2,Dev-Core
TICK-1272,CLI-116,Mon badge d'entrée ne fonctionne plus.,RH,1,1,2,Support-Admin
TICK-1273,CLI-122,Clavier défectueux : certaines touches ne répondent pas.,Matériel,1,2,2,IT-Hardware
TICK-1274,CLI-150,Problème de lecture sur ma fiche de paie de janvier.,RH,4,3,4,Support-Admin
TICK-1275,CLI-134,Demande d'accès au dossier partagé 'Finance'.,Accès,3,2,2,Security-Ops
TICK-1276,CLI-116,J'ai oublié mon mot de passe de session.,Accès,5,4,3,Security-Ops
TICK-1277,CLI-110,"La souris ne répond plus, même après changement de piles.",Matériel,2,3,3,IT-Hardware
TICK-1278,CLI-102,Impossible d'exporter le rapport mensuel en PDF.,Logiciel,2,5,6,Dev-Core
TICK-1279,CLI-108,Nouvel arrivant : création de compte et accès mail.,Accès,2,2,3,Security-Ops
TICK-1280,CLI-120,Alerte de sécurité : tentative de connexion suspecte.,Accès,3,1,8,Security-Ops
TICK-1281,CLI-124,Impossible d'exporter le rapport mensuel en PDF.,Logiciel,1,2,5,Dev-Core
TICK-1282,CLI-136,Demande d'accès au dossier partagé 'Finance'.,Accès,3,1,3,Security-Ops
TICK-1283,CLI-133,Nouvel arrivant : création de compte et accès mail.,Accès,4,2,2,Security-Ops
TICK-1284,CLI-108,Mon badge d'entrée ne fonctionne plus.,RH,1,1,2,Support-Admin
TICK-1285,CLI-150,Déclaration de télétravail non validée par le système.,RH,4,3,4,Support-Admin
TICK-1286,CLI-148,Impossible d'exporter le rapport mensuel en PDF.,Logiciel,3,2,5,Dev-Core
TICK-1287,CLI-144,Demande d'information sur la mutuelle d'entreprise.,RH,4,2,3,Support-Admin
TICK-1288,CLI-149,"Lenteur extrême sur le réseau local, impossible de travailler.",Réseau,4,4,6,Infra-Net
TICK-1289,CLI-102,"Accès VPN impossible depuis ce matin, erreur 404.",Réseau,4,5,5,Infra-Net
TICK-1290,CLI-128,Besoin d'un nouveau chargeur pour mon laptop Dell.,Matériel,4,1,3,IT-Hardware
TICK-1291,CLI-142,Déclaration de télétravail non validée par le système.,RH,1,5,4,Support-Admin
TICK-1292,CLI-147,Mon badge d'entrée ne fonctionne plus.,RH,2,5,5,Support-Admin
TICK-1293,CLI-112,Compte bloqué après 3 tentatives infructueuses.,Accès,5,2,5,Security-Ops
TICK-1294,CLI-103,Demande d'information sur la mutuelle d'entreprise.,RH,2,5,4,Support-Admin
TICK-1295,CLI-138,Le switch principal semble avoir grillé.,Réseau,3,4,5,Infra-Net
TICK-1296,CLI-100,Nouvel arrivant : création de compte et accès mail.,Accès,3,1,3,Security-Ops
TICK-1297,CLI-129,Nouvel arrivant : création de compte et accès mail.,Accès,2,2,3,Security-Ops
TICK-1298,CLI-113,J'ai oublié mon mot de passe de session.,Accès,2,3,3,Security-Ops
TICK-1299,CLI-138,Déclaration de télétravail non validée par le système.,RH,3,3,4,Support-Admin
TICK-1300,CLI-123,Coupure totale d'internet dans tout le bâtiment.,Réseau,5,4,10,Infra-Net
TICK-1301,CLI-109,Problème de lecture sur ma fiche de paie de janvier.,RH,3,1,3,Support-Admin
TICK-1302,CLI-104,L'application métier plante au démarrage.,Logiciel,5,5,4,Dev-Core
TICK-1303,CLI-133,L'imprimante du service marketing fait un bruit anormal.,Matériel,3,1,3,IT-Hardware
TICK-1304,CLI-121,Erreur de base de données lors de la sauvegarde.,Logiciel,3,2,2,Dev-Core
TICK-1305,CLI-104,Mise à jour logicielle nécessaire pour le service compta.,Logiciel,5,2,3,Dev-Core
TICK-1306,CLI-134,L'application métier plante au démarrage.,Logiciel,3,4,4,Dev-Core
TICK-1307,CLI-113,Nouvel arrivant : création de compte et accès mail.,Accès,2,1,2,Security-Ops
TICK-1308,CLI-109,Bug d'affichage sur le dashboard des ventes.,Logiciel,1,5,4,Dev-Core
TICK-1309,CLI-112,"Lenteur extrême sur le réseau local, impossible de travailler.",Réseau,3,2,5,Infra-Net
TICK-1310,CLI-144,Mon badge d'entrée ne fonctionne plus.,RH,5,4,3,Support-Admin
TICK-1311,CLI-107,Mon badge d'entrée ne fonctionne plus.,RH,5,4,3,Support-Admin
TICK-1312,CLI-149,"Lenteur extrême sur le réseau local, impossible de travailler.",Réseau,2,1,3,Infra-Net
TICK-1313,CLI-104,Erreur de base de données lors de la sauvegarde.,Logiciel,2,4,3,Dev-Core
TICK-1314,CLI-145,Demande d'accès au dossier partagé 'Finance'.,Accès,4,1,2,Security-Ops
TICK-1315,CLI-126,Nouvel arrivant : création de compte et accès mail.,Accès,4,4,3,Security-Ops
TICK-1316,CLI-104,Erreur de base de données lors de la sauvegarde.,Logiciel,1,1,3,Dev-Core
TICK-1317,CLI-133,Clavier défectueux : certaines touches ne répondent pas.,Matériel,1,4,4,IT-Hardware
TICK-1318,CLI-145,Mise à jour logicielle nécessaire pour le service compta.,Logiciel,1,5,4,Dev-Core
TICK-1319,CLI-144,"Lenteur extrême sur le réseau local, impossible de travailler.",Réseau,1,4,5,Infra-Net
TICK-1320,CLI-116,L'imprimante du service marketing fait un bruit anormal.,Matériel,3,5,5,IT-Hardware
TICK-1321,CLI-105,Mise à jour logicielle nécessaire pour le service compta.,Logiciel,5,2,2,Dev-Core
TICK-1322,CLI-130,Demande d'information sur la mutuelle d'entreprise.,RH,1,3,4,Support-Admin
TICK-1323,CLI-121,Déclaration de télétravail non validée par le système.,RH,1,3,3,Support-Admin
TICK-1324,CLI-138,"Lenteur extrême sur le réseau local, impossible de travailler.",Réseau,5,1,4,Infra-Net
TICK-1325,CLI-137,Bug d'affichage sur le dashboard des ventes.,Logiciel,3,4,4,Dev-Core
TICK-1326,CLI-121,Mon badge d'entrée ne fonctionne plus.,RH,2,1,3,Support-Admin
TICK-1327,CLI-124,Le wifi ne fonctionne plus au 3ème étage.,Réseau,2,4,4,Infra-Net
TICK-1328,CLI-113,Demande d'information sur la mutuelle d'entreprise.,RH,1,3,4,Support-Admin
TICK-1329,CLI-103,Mon écran reste noir malgré le branchement.,Matériel,3,4,3,IT-Hardware
TICK-1330,CLI-135,"Accès VPN impossible depuis ce matin, erreur 404.",Réseau,2,5,6,Infra-Net
TICK-1331,CLI-128,Impossible d'exporter le rapport mensuel en PDF.,Logiciel,3,5,5,Dev-Core
TICK-1332,CLI-113,Nouvel arrivant : création de compte et accès mail.,Accès,4,5,4,Security-Ops
TICK-1333,CLI-117,Le switch principal semble avoir grillé.,Réseau,1,5,5,Infra-Net
TICK-1334,CLI-129,Alerte de sécurité : tentative de connexion suspecte.,Accès,1,3,9,Security-Ops
TICK-1335,CLI-106,Mon écran reste noir malgré le branchement.,Matériel,2,3,3,IT-Hardware
TICK-1336,CLI-140,"Accès VPN impossible depuis ce matin, erreur 404.",Réseau,3,1,4,Infra-Net
TICK-1337,CLI-115,Demande d'information sur la mutuelle d'entreprise.,RH,1,5,5,Support-Admin
TICK-1338,CLI-120,Le wifi ne fonctionne plus au 3ème étage.,Réseau,3,3,3,Infra-Net
TICK-1339,CLI-125,Mise à jour logicielle nécessaire pour le service compta.,Logiciel,5,4,3,Dev-Core
TICK-1340,CLI-145,J'ai oublié mon mot de passe de session.,Accès,2,3,3,Security-Ops
TICK-1341,CLI-105,Mon écran reste noir malgré le branchement.,Matériel,5,4,4,IT-Hardware
TICK-1342,CLI-122,Mise à jour logicielle nécessaire pour le service compta.,Logiciel,1,5,5,Dev-Core
TICK-1343,CLI-121,Le switch principal semble avoir grillé.,Réseau,1,1,4,Infra-Net
TICK-1344,CLI-136,J'ai oublié mon mot de passe de session.,Accès,4,4,4,Security-Ops
TICK-1345,CLI-124,Impossible d'exporter le rapport mensuel en PDF.,Logiciel,5,1,3,Dev-Core
TICK-1346,CLI-130,Compte bloqué après 3 tentatives infructueuses.,Accès,4,1,4,Security-Ops
TICK-1347,CLI-144,Besoin d'un nouveau chargeur pour mon laptop Dell.,Matériel,2,3,4,IT-Hardware
TICK-1348,CLI-113,Erreur de base de données lors de la sauvegarde.,Logiciel,2,4,3,Dev-Core
TICK-1349,CLI-137,Nouvel arrivant : création de compte et accès mail.,Accès,4,4,3,Security-Ops
TICK-1350,CLI-135,"Accès VPN impossible depuis ce matin, erreur 404.",Réseau,3,4,5,Infra-Net
TICK-1351,CLI-108,Comment poser mes congés sur le nouveau portail ?,RH,4,5,5,Support-Admin
TICK-1352,CLI-139,Problème de lecture sur ma fiche de paie de janvier.,RH,4,1,3,Support-Admin
TICK-1353,CLI-131,Erreur de base de données lors de la sauvegarde.,Logiciel,1,3,4,Dev-Core
TICK-1354,CLI-116,Nouvel arrivant : création de compte et accès mail.,Accès,5,2,2,Security-Ops
TICK-1355,CLI-112,Le switch principal semble avoir grillé.,Réseau,2,3,4,Infra-Net
TICK-1356,CLI-135,Mon écran reste noir malgré le branchement.,Matériel,4,1,3,IT-Hardware
TICK-1357,CLI-138,Impossible d'exporter le rapport mensuel en PDF.,Logiciel,3,4,6,Dev-Core
TICK-1358,CLI-143,"Lenteur extrême sur le réseau local, impossible de travailler.",Réseau,5,4,5,Infra-Net
TICK-1359,CLI-133,Bug d'affichage sur le dashboard des ventes.,Logiciel,5,4,3,Dev-Core
TICK-1360,CLI-120,Alerte de sécurité : tentative de connexion suspecte.,Accès,4,1,9,Security-Ops
TICK-1361,CLI-107,Bug d'affichage sur le dashboard des ventes.,Logiciel,1,3,3,Dev-Core
TICK-1362,CLI-141,"La souris ne répond plus, même après changement de piles.",Matériel,2,2,3,IT-Hardware
TICK-1363,CLI-123,Demande d'information sur la mutuelle d'entreprise.,RH,1,5,5,Support-Admin
TICK-1364,CLI-116,Problème de lecture sur ma fiche de paie de janvier.,RH,5,1,3,Support-Admin
TICK-1365,CLI-143,Erreur de base de données lors de la sauvegarde.,Logiciel,5,1,3,Dev-Core
TICK-1366,CLI-120,Nouvel arrivant : création de compte et accès mail.,Accès,5,5,5,Security-Ops
TICK-1367,CLI-123,Compte bloqué après 3 tentatives infructueuses.,Accès,4,3,4,Security-Ops
TICK-1368,CLI-116,Impossible d'exporter le rapport mensuel en PDF.,Logiciel,2,5,5,Dev-Core
TICK-1369,CLI-145,Demande d'information sur la mutuelle d'entreprise.,RH,3,4,3,Support-Admin
TICK-1370,CLI-118,Alerte de sécurité : tentative de connexion suspecte.,Accès,5,1,9,Security-Ops
TICK-1371,CLI-144,Erreur de base de données lors de la sauvegarde.,Logiciel,5,4,4,Dev-Core
TICK-1372,CLI-102,Problème de lecture sur ma fiche de paie de janvier.,RH,2,2,3,Support-Admin
TICK-1373,CLI-129,Mon badge d'entrée ne fonctionne plus.,RH,1,5,4,Support-Admin
TICK-1374,CLI-109,Le switch principal semble avoir grillé.,Réseau,2,5,6,Infra-Net
TICK-1375,CLI-137,Nouvel arrivant : création de compte et accès mail.,Accès,4,1,2,Security-Ops
TICK-1376,CLI-101,Erreur de base de données lors de la sauvegarde.,Logiciel,2,4,3,Dev-Core
TICK-1377,CLI-133,Le switch principal semble avoir grillé.,Réseau,3,2,5,Infra-Net
TICK-1378,CLI-112,Mise à jour logicielle nécessaire pour le service compta.,Logiciel,5,1,3,Dev-Core
TICK-1379,CLI-104,J'ai oublié mon mot de passe de session.,Accès,4,1,3,Security-Ops
TICK-1380,CLI-109,Mise à jour logicielle nécessaire pour le service compta.,Logiciel,1,2,2,Dev-Core
TICK-1381,CLI-108,"La souris ne répond plus, même après changement de piles.",Matériel,1,3,3,IT-Hardware
TICK-1382,CLI-113,Déclaration de télétravail non validée par le système.,RH,2,3,3,Support-Admin
TICK-1383,CLI-100,Nouvel arrivant : création de compte et accès mail.,Accès,2,1,3,Security-Ops
TICK-1384,CLI-135,Erreur de base de données lors de la sauvegarde.,Logiciel,2,1,2,Dev-Core
TICK-1385,CLI-129,L'imprimante du service marketing fait un bruit anormal.,Matériel,3,4,3,IT-Hardware
TICK-1386,CLI-126,Problème de lecture sur ma fiche de paie de janvier.,RH,2,1,3,Support-Admin
TICK-1387,CLI-136,Besoin d'un nouveau chargeur pour mon laptop Dell.,Matériel,2,5,5,IT-Hardware
TICK-1388,CLI-139,J'ai oublié mon mot de passe de session.,Accès,1,5,4,Security-Ops
TICK-1389,CLI-120,Demande d'information sur la mutuelle d'entreprise.,RH,1,2,2,Support-Admin
TICK-1390,CLI-137,Mon badge d'entrée ne fonctionne plus.,RH,2,1,3,Support-Admin
TICK-1391,CLI-112,Demande d'accès au dossier partagé 'Finance'.,Accès,3,4,4,Security-Ops
TICK-1392,CLI-136,J'ai oublié mon mot de passe de session.,Accès,4,3,4,Security-Ops
TICK-1393,CLI-133,Coupure totale d'internet dans tout le bâtiment.,Réseau,5,3,10,Infra-Net
TICK-1394,CLI-128,L'imprimante du service marketing fait un bruit anormal.,Matériel,4,5,4,IT-Hardware
TICK-1395,CLI-149,Bug d'affichage sur le dashboard des ventes.,Logiciel,5,3,4,Dev-Core
TICK-1396,CLI-113,Erreur de base de données lors de la sauvegarde.,Logiciel,3,5,5,Dev-Core
TICK-1397,CLI-120,Le wifi ne fonctionne plus au 3ème étage.,Réseau,5,3,4,Infra-Net
TICK-1398,CLI-103,Clavier défectueux : certaines touches ne répondent pas.,Matériel,5,4,3,IT-Hardware
TICK-1399,CLI-143,"Accès VPN impossible depuis ce matin, erreur 404.",Réseau,2,2,4,Infra-Net
TICK-1400,CLI-133,Mon écran reste noir malgré le branchement.,Matériel,2,1,3,IT-Hardware
TICK-1401,CLI-120,L'imprimante du service marketing fait un bruit anormal.,Matériel,1,4,4,IT-Hardware
TICK-1402,CLI-122,Comment poser mes congés sur le nouveau portail ?,RH,2,4,4,Support-Admin
TICK-1403,CLI-105,Besoin d'un nouveau chargeur pour mon laptop Dell.,Matériel,2,1,2,IT-Hardware
TICK-1404,CLI-135,Alerte de sécurité : tentative de connexion suspecte.,Accès,5,2,8,Security-Ops
TICK-1405,CLI-130,Demande d'information sur la mutuelle d'entreprise.,RH,2,5,5,Support-Admin
TICK-1406,CLI-134,Le wifi ne fonctionne plus au 3ème étage.,Réseau,5,2,3,Infra-Net
TICK-1407,CLI-126,Erreur de base de données lors de la sauvegarde.,Logiciel,1,4,4,Dev-Core
TICK-1408,CLI-110,Clavier défectueux : certaines touches ne répondent pas.,Matériel,2,5,4,IT-Hardware
TICK-1409,CLI-101,Alerte de sécurité : tentative de connexion suspecte.,Accès,4,1,9,Security-Ops
TICK-1410,CLI-137,L'application métier plante au démarrage.,Logiciel,5,4,4,Dev-Core
TICK-1411,CLI-128,Mon écran reste noir malgré le branchement.,Matériel,1,5,5,IT-Hardware
TICK-1412,CLI-135,"Accès VPN impossible depuis ce matin, erreur 404.",Réseau,1,2,4,Infra-Net
TICK-1413,CLI-146,"Accès VPN impossible depuis ce matin, erreur 404.",Réseau,2,1,4,Infra-Net
TICK-1414,CLI-147,Demande d'information sur la mutuelle d'entreprise.,RH,2,4,4,Support-Admin
TICK-1415,CLI-145,Clavier défectueux : certaines touches ne répondent pas.,Matériel,5,2,2,IT-Hardware
TICK-1416,CLI-112,"Lenteur extrême sur le réseau local, impossible de travailler.",Réseau,4,5,5,Infra-Net
TICK-1417,CLI-150,Déclaration de télétravail non validée par le système.,RH,5,5,4,Support-Admin
TICK-1418,CLI-112,Alerte de sécurité : tentative de connexion suspecte.,Accès,2,2,8,Security-Ops
TICK-1419,CLI-103,Demande d'information sur la mutuelle d'entreprise.,RH,2,4,4,Support-Admin
TICK-1420,CLI-134,Alerte de sécurité : tentative de connexion suspecte.,Accès,3,2,8,Security-Ops
TICK-1421,CLI-150,J'ai oublié mon mot de passe de session.,Accès,5,4,3,Security-Ops
TICK-1422,CLI-108,Le switch principal semble avoir grillé.,Réseau,2,1,3,Infra-Net
TICK-1423,CLI-150,Impossible d'exporter le rapport mensuel en PDF.,Logiciel,4,1,3,Dev-Core
TICK-1424,CLI-139,Mon badge d'entrée ne fonctionne plus.,RH,4,4,3,Support-Admin
TICK-1425,CLI-139,Mise à jour logicielle nécessaire pour le service compta.,Logiciel,1,5,4,Dev-Core
TICK-1426,CLI-113,Coupure totale d'internet dans tout le bâtiment.,Réseau,4,3,9,Infra-Net
TICK-1427,CLI-131,L'imprimante du service marketing fait un bruit anormal.,Matériel,2,4,4,IT-Hardware
TICK-1428,CLI-116,Mon badge d'entrée ne fonctionne plus.,RH,3,4,4,Support-Admin
TICK-1429,CLI-114,Demande d'information sur la mutuelle d'entreprise.,RH,2,1,3,Support-Admin
TICK-1430,CLI-123,"Accès VPN impossible depuis ce matin, erreur 404.",Réseau,3,3,4,Infra-Net
TICK-1431,CLI-119,Nouvel arrivant : création de compte et accès mail.,Accès,5,5,5,Security-Ops
TICK-1432,CLI-124,Demande d'accès au dossier partagé 'Finance'.,Accès,4,1,2,Security-Ops
TICK-1433,CLI-126,Demande d'accès au dossier partagé 'Finance'.,Accès,5,5,5,Security-Ops
TICK-1434,CLI-127,Demande d'accès au dossier partagé 'Finance'.,Accès,2,2,3,Security-Ops
TICK-1435,CLI-113,Mon badge d'entrée ne fonctionne plus.,RH,4,5,5,Support-Admin
TICK-1436,CLI-126,J'ai oublié mon mot de passe de session.,Accès,3,5,5,Security-Ops
TICK-1437,CLI-131,Bug d'affichage sur le dashboard des ventes.,Logiciel,5,4,3,Dev-Core
TICK-1438,CLI-104,Comment poser mes congés sur le nouveau portail ?,RH,3,2,3,Support-Admin
TICK-1439,CLI-141,Le switch principal semble avoir grillé.,Réseau,5,1,3,Infra-Net
TICK-1440,CLI-115,Problème de lecture sur ma fiche de paie de janvier.,RH,2,1,2,Support-Admin
TICK-1441,CLI-129,Le switch principal semble avoir grillé.,Réseau,5,3,5,Infra-Net
TICK-1442,CLI-142,Déclaration de télétravail non validée par le système.,RH,1,4,3,Support-Admin
TICK-1443,CLI-108,"La souris ne répond plus, même après changement de piles.",Matériel,3,4,3,IT-Hardware
TICK-1444,CLI-135,Compte bloqué après 3 tentatives infructueuses.,Accès,3,2,5,Security-Ops
TICK-1445,CLI-124,L'imprimante du service marketing fait un bruit anormal.,Matériel,5,3,4,IT-Hardware
TICK-1446,CLI-137,L'application métier plante au démarrage.,Logiciel,1,5,4,Dev-Core
TICK-1447,CLI-100,Demande d'information sur la mutuelle d'entreprise.,RH,5,2,2,Support-Admin
TICK-1448,CLI-143,"Lenteur extrême sur le réseau local, impossible de travailler.",Réseau,1,5,5,Infra-Net
TICK-1449,CLI-101,Compte bloqué après 3 tentatives infructueuses.,Accès,2,1,4,Security-Ops
TICK-1450,CLI-110,"Accès VPN impossible depuis ce matin, erreur 404.",Réseau,3,3,4,Infra-Net
TICK-1451,CLI-148,Nouvel arrivant : création de compte et accès mail.,Accès,2,1,3,Security-Ops
TICK-1452,CLI-139,Mise à jour logicielle nécessaire pour le service compta.,Logiciel,2,2,2,Dev-Core
TICK-1453,CLI-134,Besoin d'un nouveau chargeur pour mon laptop Dell.,Matériel,1,1,2,IT-Hardware
TICK-1454,CLI-141,Mon écran reste noir malgré le branchement.,Matériel,1,1,2,IT-Hardware
TICK-1455,CLI-130,Compte bloqué après 3 tentatives infructueuses.,Accès,4,2,4,Security-Ops
TICK-1456,CLI-118,Problème de lecture sur ma fiche de paie de janvier.,RH,5,1,2,Support-Admin
TICK-1457,CLI-134,Impossible d'exporter le rapport mensuel en PDF.,Logiciel,3,1,4,Dev-Core
TICK-1458,CLI-107,L'imprimante du service marketing fait un bruit anormal.,Matériel,1,2,3,IT-Hardware
TICK-1459,CLI-108,Clavier défectueux : certaines touches ne répondent pas.,Matériel,5,5,4,IT-Hardware
TICK-1460,CLI-116,"Accès VPN impossible depuis ce matin, erreur 404.",Réseau,5,3,5,Infra-Net
TICK-1461,CLI-137,Le switch principal semble avoir grillé.,Réseau,5,1,3,Infra-Net
TICK-1462,CLI-108,Clavier défectueux : certaines touches ne répondent pas.,Matériel,3,1,2,IT-Hardware
TICK-1463,CLI-134,Besoin d'un nouveau chargeur pour mon laptop Dell.,Matériel,4,5,5,IT-Hardware
TICK-1464,CLI-118,Mon badge d'entrée ne fonctionne plus.,RH,3,5,4,Support-Admin
TICK-1465,CLI-105,L'application métier plante au démarrage.,Logiciel,1,5,4,Dev-Core
TICK-1466,CLI-139,Coupure totale d'internet dans tout le bâtiment.,Réseau,2,2,9,Infra-Net
TICK-1467,CLI-114,Bug d'affichage sur le dashboard des ventes.,Logiciel,3,3,4,Dev-Core
TICK-1468,CLI-107,Besoin d'un nouveau chargeur pour mon laptop Dell.,Matériel,1,4,3,IT-Hardware
TICK-1469,CLI-122,Nouvel arrivant : création de compte et accès mail.,Accès,5,1,3,Security-Ops
TICK-1470,CLI-150,Mon badge d'entrée ne fonctionne plus.,RH,1,5,4,Support-Admin
TICK-1471,CLI-115,Clavier défectueux : certaines touches ne répondent pas.,Matériel,3,3,3,IT-Hardware
TICK-1472,CLI-126,J'ai oublié mon mot de passe de session.,Accès,2,4,4,Security-Ops
TICK-1473,CLI-121,Coupure totale d'internet dans tout le bâtiment.,Réseau,2,1,9,Infra-Net
TICK-1474,CLI-138,Besoin d'un nouveau chargeur pour mon laptop Dell.,Matériel,2,3,4,IT-Hardware
TICK-1475,CLI-127,Besoin d'un nouveau chargeur pour mon laptop Dell.,Matériel,4,2,2,IT-Hardware
TICK-1476,CLI-105,Problème de lecture sur ma fiche de paie de janvier.,RH,5,3,4,Support-Admin
TICK-1477,CLI-101,L'imprimante du service marketing fait un bruit anormal.,Matériel,2,3,3,IT-Hardware
TICK-1478,CLI-119,Demande d'information sur la mutuelle d'entreprise.,RH,3,1,2,Support-Admin
TICK-1479,CLI-117,Demande d'information sur la mutuelle d'entreprise.,RH,1,3,3,Support-Admin
TICK-1480,CLI-120,Le wifi ne fonctionne plus au 3ème étage.,Réseau,5,3,4,Infra-Net
TICK-1481,CLI-110,Clavier défectueux : certaines touches ne répondent pas.,Matériel,3,3,4,IT-Hardware
TICK-1482,CLI-104,Demande d'information sur la mutuelle d'entreprise.,RH,2,2,3,Support-Admin
TICK-1483,CLI-147,Mon écran reste noir malgré le branchement.,Matériel,5,1,3,IT-Hardware
TICK-1484,CLI-147,Mise à jour logicielle nécessaire pour le service compta.,Logiciel,4,2,2,Dev-Core
TICK-1485,CLI-109,"Lenteur extrême sur le réseau local, impossible de travailler.",Réseau,2,5,6,Infra-Net
TICK-1486,CLI-114,L'application métier plante au démarrage.,Logiciel,2,5,5,Dev-Core
TICK-1487,CLI-111,Comment poser mes congés sur le nouveau portail ?,RH,1,1,3,Support-Admin
TICK-1488,CLI-103,Impossible d'exporter le rapport mensuel en PDF.,Logiciel,4,4,5,Dev-Core
TICK-1489,CLI-150,Problème de lecture sur ma fiche de paie de janvier.,RH,2,3,4,Support-Admin
TICK-1490,CLI-106,Demande d'accès au dossier partagé 'Finance'.,Accès,4,4,4,Security-Ops
TICK-1491,CLI-106,L'imprimante du service marketing fait un bruit anormal.,Matériel,2,5,5,IT-Hardware
TICK-1492,CLI-143,Mon écran reste noir malgré le branchement.,Matériel,2,2,2,IT-Hardware
TICK-1493,CLI-128,"Lenteur extrême sur le réseau local, impossible de travailler.",Réseau,2,5,6,Infra-Net
TICK-1494,CLI-131,Mon badge d'entrée ne fonctionne plus.,RH,2,2,2,Support-Admin
TICK-1495,CLI-134,Coupure totale d'internet dans tout le bâtiment.,Réseau,3,5,10,Infra-Net
TICK-1496,CLI-125,Mon écran reste noir malgré le branchement.,Matériel,3,2,3,IT-Hardware
TICK-1497,CLI-121,Problème de lecture sur ma fiche de paie de janvier.,RH,2,4,3,Support-Admin
TICK-1498,CLI-111,Demande d'accès au dossier partagé 'Finance'.,Accès,5,3,4,Security-Ops
